Time;Australia
2001Q1;304,710.00
2001Q2;307,195.00
2001Q3;310,801.00
2001Q4;314,584.00
2002Q1;316,953.00
2002Q2;322,431.00
2002Q3;323,397.00
2002Q4;326,034.00
2003Q1;326,649.00
2003Q2;328,040.00
2003Q3;333,753.00
2003Q4;339,284.00
2004Q1;341,882.00
2004Q2;344,192.00
2004Q3;346,828.00
2004Q4;349,417.00
2005Q1;352,071.00
2005Q2;353,658.00
2005Q3;357,642.00
2005Q4;360,394.00
2006Q1;360,767.00
2006Q2;361,594.00
2006Q3;366,981.00
2006Q4;371,675.00
2007Q1;376,825.00
2007Q2;379,333.00
2007Q3;383,604.00
2007Q4;385,175.00
2008Q1;389,046.00
2008Q2;390,328.00
2008Q3;392,977.00
2008Q4;391,350.00
2009Q1;394,957.00
2009Q2;397,827.00
2009Q3;399,178.00
2009Q4;402,219.00
2010Q1;403,937.00
2010Q2;406,577.00
2010Q3;409,343.00
2010Q4;412,821.00
2011Q1;411,519.00
2011Q2;416,774.00
2011Q3;422,470.00
2011Q4;427,030.00
2012Q1;431,098.00
2012Q2;434,261.00
2012Q3;436,774.00
2012Q4;438,879.00
2013Q1;440,845.00
2013Q2;442,584.00
2013Q3;446,165.00
2013Q4;449,778.00
2014Q1;453,173.00
2014Q2;455,332.00
2014Q3;457,350.00
2014Q4;459,068.00
2015Q1;463,239.00
2015Q2;463,636.00
2015Q3;468,418.00
2015Q4;471,289.00
2016Q1;475,460.00
2016Q2;478,459.00
2016Q3;478,933.00
2016Q4;483,979.00
2017Q1;485,502.00
2017Q2;488,427.00
2017Q3;493,126.00
2017Q4;495,486.00
2018Q1;500,164.00
2018Q2;503,906.00
2018Q3;506,245.00
2018Q4;507,441.00
2019Q1;510,030.00
2019Q2;512,234.00
2019Q3;515,987.00
2019Q4;518,738.00
