Time;Australia;Belgium;Brazil;Canada;Chile;Denmark;Finland;France;Germany;HongKong;India;Indonesia;Mexico;Netherlands;Norway;Poland;Russia;SouthAfrica;SouthKorea;Spain;Sweden ;Switzerland;Thailand;Turkey;UnitedKingdom;USA1;USA2
2001Q1;254626.55;77529.98;691214.77;351405.27;18641904.49;419536.8;40371.81;448612.46;600282.03;300726.7;9043388.35;1053724500;2893245.89;142053.83;565403.53;249544.32;6782815.78;554176.43;215043057.8;223416.17;726919.5;131834.82;1759541.95;191654.76;355280.95;3178098.13;3178098.13
2001Q2;256703.1;77543.93;687704.43;352352.27;18822495.78;421584.9;40420.06;449150.51;600003.23;300843.87;9231561.56;1064503000;2877695.18;142772.16;564394.6;248811.54;6904071.56;556945.61;217836211.2;225081.44;727089.47;132418.15;1780943.84;182370.93;356581.3;3197846.44;3197846.44
2001Q3;259716.41;77396.12;683999.04;352117.6;18778244.99;425370;40675.58;450298.29;598748.57;298718.76;9345754.47;1064723800;2884002.52;143020.28;571374.4;250005.87;7079086.14;558425.74;220777421.9;227179.19;729869.47;132371.83;1786064.02;184653.83;358221.99;3185043.89;3185043.89
2001Q4;262877.62;77318.96;682194.94;354261.4;18895533.97;424531.1;40561.22;450002.46;598260.63;297933.31;9560342.73;1079803500;2865595.73;143481.54;576363.05;250040.37;7043018.54;562721.81;224668812.7;228725.16;736017;131949.92;1807614.18;181546.29;358803.84;3193876.53;3193876.53
2002Q1;264857.24;77983.65;698754.79;359519.43;19053771.71;424388.6;40826.57;452585.45;595193.71;298841.43;9637500.1;1092967400;2846403.47;142606.04;571183.98;251724.25;7073611.12;568833.03;230385469.3;229710.41;735167.15;131970.73;1838543.91;188404.36;360050.05;3220329.03;3220329.03
2002Q2;269434.85;78651.13;700981.74;361638.35;19208766.22;424346.5;41230.41;454479.97;597772.7;302711.39;9697592.07;1107016700;2872259.68;143102.69;583086.09;253478.14;7199434.27;576050.68;234560366;231596.4;746480.81;132313.04;1891784.87;196536.67;361943.42;3240150.24;3240150.24
2002Q3;270242.07;79072.25;710573.65;364768.09;19418014.42;425789.5;41133.92;455520.22;600560.85;306121.42;9755233.17;1121225600;2894799.65;143324.88;574408.08;255869.42;7385975.19;582570.6;239302737.9;233025.05;750913.93;132250.3;1912669.75;199222.28;364570.76;3253225.22;3253225.22
2002Q4;272445.65;79367.88;717717.69;366769.29;19700213.55;424384.3;41602.08;456579.31;599794.14;309677.16;9762858.13;1133346900;2901583.96;143539.36;580913.14;257224.14;7467978.00;587417.53;241928736;234768.87;752280.23;131707.98;1929540.63;203472.96;367626.11;3257475.75;3257475.75
2003Q1;272959.56;79158.71;714440.67;368798.72;19980163.99;426658.6;41308.14;457072.72;590924.52;309750.73;9982620.47;1148138300;2908474.59;143564.26;580746.85;258234;7647009.80;591146.27;240334039;236968.02;760845.76;131083.27;1978014.39;203643.06;369954.37;3274307.83;3274307.83
2003Q2;274121.93;79327.9;708585.86;368254.92;20191689.29;422690.6;41902.27;456103.87;591551.82;301536.62;10235515.1;1161156600;2915277.77;143068.49;577976.82;262559.83;7732307.32;594033.26;239963571.6;238216.73;756732.15;130803.98;2010025.36;204327.97;373122.31;3303559.82;3303559.82
2003Q3;278895.92;79652.35;715259.84;369630.87;20324797.94;424142.4;42403.49;459108.3;596082.38;319134.87;10504839.7;1173320800;2914049.85;143195.41;586109.44;265936.33;7862841.59;597256.96;244601274.4;239788.55;767400.25;132167.8;2046514.85;210153.79;376799.9;3358626.73;3358626.73
2003Q4;283517.82;80206.41;722627.89;372181.22;20435084.9;432044.1;42481.22;462233.01;597755.2;323984.13;10849778.53;1184885000;2946116.65;143962.07;586297.26;267978.46;8006245.58;600702.73;251057475.1;241832.61;772469.94;133740.33;2079942.99;216506.77;379728.91;3397386.82;3397386.82
