Fecha (dd/mm/aaaa),Valor IGBC,Variación absoluta,Variación porcentual
05/06/2006,"9,100.82",-21.2570,-0.2330%
06/06/2006,"9,100.82",-279.4640,-3.0700%
07/06/2006,"8,214.20",-607.1620,-6.8828%
08/06/2006,"7,435.61",-778.5870,-9.4785%
09/06/2006,"7,538.50",102.8950,1.3838%
12/06/2006,"6,749.74",-788.7650,-10.4631%
13/06/2006,"6,160.25",-589.4840,-8.7334%
14/06/2006,"6,562.29",402.0340,6.5262%
15/06/2006,"7,600.54","1,038.2550",15.8215%
16/06/2006,"7,665.76",65.2180,0.8580%
20/06/2006,"7,362.32",-303.4460,-3.9584%
21/06/2006,"7,525.69",163.3780,2.2191%
22/06/2006,"7,501.39",-24.2990,-0.3228%
23/06/2006,"7,381.93",-119.4620,-1.5925%
27/06/2006,"7,116.13",-265.8020,-3.6007%
28/06/2006,"7,070.79",-45.3340,-0.6370%
29/06/2006,"7,332.75",261.9530,3.7047%
30/06/2006,"7,661.97",329.2210,4.4897%
04/07/2006,"8,011.85",349.8780,4.5664%
05/07/2006,"7,942.24",-69.6050,-0.8687%
06/07/2006,"8,105.66",163.4140,2.0575%
07/07/2006,"8,210.47",104.8060,1.2930%
10/07/2006,"8,590.86",380.3960,4.6330%
11/07/2006,"8,468.60",-122.2630,-1.4231%
12/07/2006,"8,404.60",-64.0010,-0.7557%
13/07/2006,"8,198.43",-206.1690,-2.4530%
14/07/2006,"8,024.02",-174.4040,-2.1272%
17/07/2006,"7,812.67",-211.3500,-2.6339%
18/07/2006,"7,891.62",78.9510,1.0105%
19/07/2006,"8,345.91",454.2890,5.7566%
21/07/2006,"8,321.35",-24.5620,-0.2943%
24/07/2006,"8,492.51",171.1560,2.0568%
25/07/2006,"8,438.33",-54.1760,-0.6379%
26/07/2006,"8,620.08",181.7520,2.1538%
27/07/2006,"8,887.55",267.4670,3.1028%
28/07/2006,"8,981.96",94.4030,1.0622%
31/07/2006,"9,015.65",33.6930,0.3751%
01/08/2006,"8,924.86",-90.7880,-1.0070%
02/08/2006,"9,008.58",83.7180,0.9380%
03/08/2006,"9,179.73",171.1470,1.8998%
04/08/2006,"9,302.53",122.8070,1.3378%
08/08/2006,"9,459.58",157.0470,1.6882%
09/08/2006,"9,591.08",131.4960,1.3900%
10/08/2006,"9,489.35",-101.7290,-1.0606%
11/08/2006,"9,472.64",-16.7100,-0.1760%
14/08/2006,"9,393.33",-79.3080,-0.8372%
15/08/2006,"9,545.02",151.6930,1.6149%
16/08/2006,"9,597.21",52.1820,0.5466%
17/08/2006,"9,654.61",57.4070,0.5981%
18/08/2006,"9,726.23",71.6190,0.7418%
22/08/2006,"9,598.04",-128.1920,-1.3180%
23/08/2006,"9,556.76",-41.2770,-0.4300%
24/08/2006,"9,355.72",-201.0440,-2.1036%
25/08/2006,"9,355.72",81.6767,0.8700%
28/08/2006,"9,472.94",35.5460,0.3766%
29/08/2006,"9,487.39",14.4480,0.1525%
30/08/2006,"9,523.50",36.1130,0.3806%
31/08/2006,"9,510.26",-13.2450,-0.1390%
01/09/2006,"9,497.42",-12.8370,-0.1349%
04/09/2006,"9,463.30",-34.1250,-0.3593%
05/09/2006,"9,230.91",-232.3820,-2.4556%
06/09/2006,"9,046.77",-184.1440,-1.9948%
07/09/2006,"8,969.67",-77.1000,-0.8522%
08/09/2006,"9,052.87",83.1990,0.9275%
11/09/2006,"8,912.65",-140.2170,-1.5488%
12/09/2006,"8,770.06",-142.5860,-1.5998%
13/09/2006,"9,115.00",344.9330,3.9330%
14/09/2006,"9,210.03",95.0310,1.0425%
15/09/2006,"9,174.54",-35.4910,-0.3853%
18/09/2006,"9,144.54",-29.9990,-0.3269%
19/09/2006,"9,045.05",-99.4850,-1.0879%
20/09/2006,"9,183.77",138.7130,1.5335%
21/09/2006,"9,009.41",-174.3580,-1.8985%
22/09/2006,"8,986.36",-23.0500,-0.2558%
25/09/2006,"8,903.37",-82.9830,-0.9234%
26/09/2006,"9,107.78",204.4070,2.2958%
27/09/2006,"9,121.92",14.1400,0.1552%
28/09/2006,"9,093.77",-28.1500,-0.3086%
29/09/2006,"9,250.98",157.2100,1.7287%
02/10/2006,"9,309.73",58.7510,0.6350%
03/10/2006,"9,359.73",49.9920,0.5369%
04/10/2006,"9,369.03",9.3010,0.0993%
05/10/2006,"9,474.55",105.5210,1.1262%
06/10/2006,"9,541.14",66.5870,0.7028%
09/10/2006,"9,531.56",-9.5730,-0.1003%
10/10/2006,"9,596.40",64.8350,0.6802%
11/10/2006,"9,620.22",23.8230,0.2482%
12/10/2006,"9,569.19",-51.0320,-0.5304%
13/10/2006,"9,645.96",76.7720,0.8022%
17/10/2006,"9,645.96",-14.4884,-0.1500%
18/10/2006,"9,743.33",111.8570,1.1613%
19/10/2006,"9,806.90",63.5680,0.6524%
20/10/2006,"9,876.73",69.8330,0.7120%
23/10/2006,"9,840.78",-35.9520,-0.3640%
24/10/2006,"9,865.32",24.5380,0.2493%
25/10/2006,"9,960.66",95.3420,0.9664%
26/10/2006,"10,111.68",151.0220,1.5161%
27/10/2006,"10,300.46",188.7790,1.8669%
30/10/2006,"10,134.37",-166.0890,-1.6124%
31/10/2006,"10,284.99",150.6190,1.4862%
01/11/2006,"10,374.85",89.8510,0.8736%
02/11/2006,"10,322.08",-52.7640,-0.5085%
03/11/2006,"10,328.81",6.7330,0.0652%
07/11/2006,"10,535.20",206.3850,1.9981%
08/11/2006,"10,595.49",60.2920,0.5722%
09/11/2006,"10,594.07",-1.4200,-0.0134%
10/11/2006,"10,543.06",-51.0110,-0.4815%
14/11/2006,"10,593.43",50.3730,0.4777%
15/11/2006,"10,533.95",-59.4790,-0.5614%
16/11/2006,"10,378.12",-155.8320,-1.4793%
17/11/2006,"10,442.58",64.4520,0.6210%
20/11/2006,"10,537.17",94.5980,0.9058%
21/11/2006,"10,444.99",-92.1880,-0.8748%
22/11/2006,"10,346.62",-98.3680,-0.9417%
23/11/2006,"10,314.73",-31.8820,-0.3081%
24/11/2006,"10,247.33",-67.4050,-0.6534%
27/11/2006,"9,934.54",-312.7870,-3.0523%
28/11/2006,"10,153.53",218.9920,2.2043%
29/11/2006,"10,287.56",134.0250,1.3199%
30/11/2006,"10,252.94",-34.6200,-0.3365%
01/12/2006,"10,319.00",66.0630,0.6443%
04/12/2006,"10,466.17",147.1640,1.4261%
05/12/2006,"10,566.61",100.4450,0.9597%
06/12/2006,"10,523.36",-43.2510,-0.4093%
07/12/2006,"10,508.44",-14.9210,-0.1417%
11/12/2006,"10,512.61",4.1690,0.0396%
12/12/2006,"10,537.64",25.0320,0.2381%
13/12/2006,"10,637.30",99.6590,0.9457%
14/12/2006,"10,867.60",230.2960,2.1649%
15/12/2006,"11,053.62",186.0210,1.7117%
18/12/2006,"11,159.00",105.3790,0.9533%
19/12/2006,"11,162.74",3.7410,0.0335%
20/12/2006,"11,096.04",-66.7000,-0.5975%
21/12/2006,"11,146.89",50.8520,0.4582%
22/12/2006,"11,221.44",74.5470,0.6687%
26/12/2006,"11,029.97",-191.4730,-1.7063%
27/12/2006,"11,108.94",78.9690,0.7159%
28/12/2006,"11,161.14",52.2040,0.4699%
02/01/2007,"10,979.87",-181.2700,-1.6241%
03/01/2007,"11,041.81",61.9440,0.5641%
04/01/2007,"11,015.92",-25.8940,-0.2345%
05/01/2007,"10,722.11",-293.8050,-2.6670%
09/01/2007,"10,203.40",-518.7170,-4.8378%
10/01/2007,"10,560.05",356.6510,3.4954%
11/01/2007,"10,739.54",179.4940,1.6997%
12/01/2007,"10,783.22",43.6810,0.4067%
15/01/2007,"10,884.07",100.8490,0.9352%
16/01/2007,"10,823.39",-60.6840,-0.5575%
17/01/2007,"10,853.44",30.0520,0.2776%
18/01/2007,"10,842.47",-10.9730,-0.1011%
19/01/2007,"10,794.44",-48.0250,-0.4429%
22/01/2007,"10,585.25",-209.1930,-1.9379%
23/01/2007,"10,716.07",130.8200,1.2358%
24/01/2007,"10,741.18",25.1099,0.2343%
25/01/2007,"10,642.23",-98.9520,-0.9212%
26/01/2007,"10,671.40",29.1698,0.2741%
29/01/2007,"10,569.67",-101.7232,-0.9532%
30/01/2007,"10,657.18",87.5040,0.8278%
31/01/2007,"10,796.03",138.8490,1.3028%
01/02/2007,"10,912.14",116.1070,1.0754%
02/02/2007,"10,937.49",25.3500,0.2323%
05/02/2007,"10,942.88",5.3920,0.0493%
06/02/2007,"10,905.38",-37.4960,-0.3426%
07/02/2007,"10,911.37",5.9820,0.0548%
08/02/2007,"10,876.49",-34.8790,-0.3196%
09/02/2007,"10,894.29",17.8030,0.1636%
12/02/2007,"10,766.71",-127.5838,-1.1711%
13/02/2007,"10,806.76",40.0548,0.3720%
14/02/2007,"10,896.37",89.6122,0.8292%
15/02/2007,"10,907.71",11.3385,0.1041%
16/02/2007,"10,855.39",-52.3248,-0.4797%
19/02/2007,"10,811.49",-43.8993,-0.4044%
20/02/2007,"10,791.41",-20.0735,-0.1857%
21/02/2007,"10,666.05",-125.3648,-1.1617%
22/02/2007,"10,655.84",-10.2060,-0.0957%
23/02/2007,"10,545.87",-109.9722,-1.0320%
26/02/2007,"10,371.01",-174.8654,-1.6581%
27/02/2007,"9,901.12",-469.8898,-4.5308%
28/02/2007,"10,113.12",212.0009,2.1412%
01/03/2007,"10,146.33",33.2179,0.3285%
02/03/2007,"10,193.01",46.6710,0.4600%
05/03/2007,"10,052.01",-140.9965,-1.3833%
06/03/2007,"10,125.86",73.8512,0.7347%
07/03/2007,"10,185.26",59.3957,0.5866%
08/03/2007,"10,399.45",214.1988,2.1030%
09/03/2007,"10,423.72",24.2639,0.2333%
12/03/2007,"10,418.01",-5.7090,-0.0548%
13/03/2007,"10,307.31",-110.6960,-1.0625%
14/03/2007,"10,199.02",-108.2904,-1.0506%
15/03/2007,"10,279.36",80.3407,0.7877%
16/03/2007,"10,397.42",118.0535,1.1485%
20/03/2007,"10,734.25",336.8323,3.2396%
21/03/2007,"10,921.54",187.2947,1.7448%
22/03/2007,"10,756.33",-165.2110,-1.5127%
23/03/2007,"10,893.94",137.6050,1.2793%
26/03/2007,"10,894.70",0.7649,0.0070%
27/03/2007,"11,042.83",148.1250,1.3596%
28/03/2007,"10,917.24",-125.5852,-1.1373%
