Date,Open,High,Low,Close
08/18/2014,"1,861.75","1,861.75","1,861.75","1,861.75"
08/15/2014,"1,864.31","1,864.31","1,864.31","1,864.31"
08/14/2014,"1,861.58","1,861.58","1,861.58","1,861.58"
08/13/2014,"1,858.04","1,858.04","1,858.04","1,858.04"
08/12/2014,"1,850.39","1,850.39","1,850.39","1,850.39"
08/11/2014,"1,849.32","1,849.32","1,849.32","1,849.32"
08/08/2014,"1,839.87","1,839.87","1,839.87","1,839.87"
08/07/2014,"1,867.32","1,867.32","1,867.32","1,867.32"
08/06/2014,"1,869.92","1,869.92","1,869.92","1,869.92"
08/05/2014,"1,876.69","1,876.69","1,876.69","1,876.69"
08/04/2014,"1,875.80","1,875.80","1,875.80","1,875.80"
08/01/2014,"1,863.34","1,863.34","1,863.34","1,863.34"
07/31/2014,"1,871.36","1,871.36","1,871.36","1,871.36"
07/30/2014,"1,878.34","1,878.34","1,878.34","1,878.34"
07/29/2014,"1,877.34","1,877.34","1,877.34","1,877.34"
07/28/2014,"1,877.34","1,877.34","1,877.34","1,877.34"
07/25/2014,"1,877.34","1,877.34","1,877.34","1,877.34"
07/24/2014,"1,877.05","1,877.05","1,877.05","1,877.05"
07/23/2014,"1,871.83","1,871.83","1,871.83","1,871.83"
07/22/2014,"1,871.36","1,871.36","1,871.36","1,871.36"
07/21/2014,"1,868.64","1,868.64","1,868.64","1,868.64"
07/18/2014,"1,872.97","1,872.97","1,872.97","1,872.97"
07/17/2014,"1,883.14","1,883.14","1,883.14","1,883.14"
07/16/2014,"1,886.71","1,886.71","1,886.71","1,886.71"
07/15/2014,"1,884.87","1,884.87","1,884.87","1,884.87"
07/14/2014,"1,884.87","1,884.87","1,884.87","1,884.87"
07/11/2014,"1,883.15","1,883.15","1,883.15","1,883.15"
07/10/2014,"1,892.62","1,892.62","1,892.62","1,892.62"
07/09/2014,"1,891.16","1,891.16","1,891.16","1,891.16"
07/08/2014,"1,892.65","1,892.65","1,892.65","1,892.65"
07/07/2014,"1,892.50","1,892.50","1,892.50","1,892.50"
07/04/2014,"1,884.91","1,884.91","1,884.91","1,884.91"
07/03/2014,"1,888.69","1,888.69","1,888.69","1,888.69"
07/02/2014,"1,886.84","1,886.84","1,886.84","1,886.84"
07/01/2014,"1,879.12","1,879.12","1,879.12","1,879.12"
06/30/2014,"1,882.71","1,882.71","1,882.71","1,882.71"
06/27/2014,"1,880.93","1,880.93","1,880.93","1,880.93"
06/26/2014,"1,889.97","1,889.97","1,889.97","1,889.97"
06/25/2014,"1,889.55","1,889.55","1,889.55","1,889.55"
06/24/2014,"1,892.33","1,892.33","1,892.33","1,892.33"
06/23/2014,"1,883.96","1,883.96","1,883.96","1,883.96"
