Fecha,Valor
10/8/2021,"1,236.31"
9/8/2021,"1,229.44"
6/8/2021,"1,226.59"
5/8/2021,"1,227.35"
4/8/2021,"1,240.84"
3/8/2021,"1,235.53"
2/8/2021,"1,236.03"
30/07/21,"1,236.73"
29/07/21,"1,245.86"
28/07/21,"1,243.13"
27/07/21,"1,249.61"
26/07/21,"1,256.31"
23/07/21,"1,254.24"
22/07/21,"1,251.87"
21/07/21,"1,250.71"
19/07/21,"1,238.12"
16/07/21,"1,272.49"
15/07/21,"1,273.21"
14/07/21,"1,284.44"
13/07/21,"1,293.76"
12/7/2021,"1,298.44"
27/05/21,"1,182.18"
26/05/21,"1,190.78"
25/05/21,"1,203.80"
24/05/21,"1,227.68"
21/05/21,"1,244.08"
20/05/21,"1,254.62"
19/05/21,"1,265.64"
18/05/21,"1,268.14"
14/05/21,"1,289.75"
13/05/21,"1,262.29"
12/5/2021,"1,285.33"
11/5/2021,"1,292.14"
10/5/2021,"1,311.73"
7/5/2021,"1,281.93"
6/5/2021,"1,266.56"
5/5/2021,"1,240.04"
4/5/2021,"1,217.67"
3/5/2021,"1,216.62"
30/04/21,"1,260.88"
29/04/21,"1,278.00"
28/04/21,"1,286.16"
27/04/21,"1,293.15"
26/04/21,"1,286.57"
23/04/21,"1,282.21"
22/04/21,"1,296.07"
21/04/21,"1,305.14"
20/04/21,"1,311.39"
19/04/21,"1,312.62"
16/04/21,"1,317.08"
15/04/21,"1,321.80"
14/04/21,"1,320.96"
13/04/21,"1,312.55"
12/4/2021,"1,317.76"
9/4/2021,"1,322.11"
8/4/2021,"1,325.93"
7/4/2021,"1,335.89"
6/4/2021,"1,324.35"
5/4/2021,"1,323.97"
31/03/21,"1,316.81"
30/03/21,"1,327.32"
29/03/21,"1,320.83"
26/03/21,"1,314.46"
25/03/21,"1,320.11"
24/03/21,"1,325.33"
23/03/21,"1,319.82"
19/03/21,"1,324.54"
18/03/21,"1,325.59"
17/03/21,"1,343.56"
16/03/21,"1,350.14"
15/03/21,"1,356.98"
12/3/2021,"1,353.68"
11/3/2021,"1,350.35"
10/3/2021,"1,343.53"
9/3/2021,"1,341.73"
8/3/2021,"1,336.98"
5/3/2021,"1,344.72"
4/3/2021,"1,337.12"
3/3/2021,"1,347.22"
2/3/2021,"1,350.04"
1/3/2021,"1,355.70"
25/02/21,"1,358.03"
24/02/21,"1,370.75"
23/02/21,"1,355.24"
22/02/21,"1,352.21"
19/02/21,"1,352.57"
18/02/21,"1,353.68"
17/02/21,"1,366.29"
16/02/21,"1,363.17"
15/02/21,"1,369.39"
12/2/2021,"1,365.95"
11/2/2021,"1,367.79"
10/2/2021,"1,374.20"
9/2/2021,"1,380.29"
8/2/2021,"1,383.38"
5/2/2021,"1,370.46"
4/2/2021,"1,359.63"
3/2/2021,"1,359.03"
2/2/2021,"1,368.30"
1/2/2021,"1,357.16"
29/01/21,"1,348.12"
15/11/19,"13,290.88"
14/11/19,"13,188.00"
13/11/19,"13,243.71"
12/11/2019,"13,292.52"
8/11/2019,"13,336.81"
7/11/2019,"13,467.59"
6/11/2019,"13,484.14"
5/11/2019,"13,471.44"
1/11/2019,"13,359.16"
31/10/19,"13,272.19"
30/10/19,"13,263.00"
29/10/19,"13,271.05"
28/10/19,"13,200.31"
25/10/19,"13,214.44"
24/10/19,"13,136.80"
23/10/19,"13,048.51"
22/10/19,"13,129.34"
21/10/19,"12,992.31"
18/10/19,"12,833.16"
17/10/19,"12,855.02"
16/10/19,"12,879.15"
15/10/19,"12,858.59"
11/10/2019,"12,948.46"
10/10/2019,"12,874.43"
9/10/2019,"12,913.07"
8/10/2019,"12,903.95"
7/10/2019,"12,926.21"
4/10/2019,"12,945.26"
3/10/2019,"12,905.42"
2/10/2019,"12,778.89"
1/10/2019,"12,836.14"
30/09/19,"12,823.48"
27/09/19,"12,891.80"
26/09/19,"13,033.76"
25/09/19,"12,943.27"
24/09/19,"12,950.42"
23/09/19,"12,992.95"
20/09/19,"12,965.35"
19/09/19,"12,964.51"
18/09/19,"13,017.31"
17/09/19,"12,985.64"
16/09/19,"12,964.67"
13/09/19,"12,793.59"
12/9/2019,"12,914.88"
11/9/2019,"12,822.02"
10/9/2019,"12,748.65"
9/9/2019,"12,760.19"
6/9/2019,"12,699.79"
5/9/2019,"12,700.96"
4/9/2019,"12,686.37"
3/9/2019,"12,632.44"
2/9/2019,"12,615.17"
30/08/19,"12,607.50"
29/08/19,"12,534.90"
28/08/19,"12,455.81"
27/08/19,"12,392.43"
26/08/19,"12,323.84"
23/08/19,"12,188.57"
22/08/19,"12,367.43"
21/08/19,"12,539.15"
20/08/19,"12,600.77"
16/08/19,"12,539.26"
15/08/19,"12,391.30"
14/08/19,"12,390.30"
13/08/19,"12,625.01"
12/8/2019,"12,453.04"
9/8/2019,"12,537.63"
8/8/2019,"12,569.23"
6/8/2019,"12,328.00"
5/8/2019,"12,285.25"
2/8/2019,"12,604.27"
1/8/2019,"12,518.81"
31/07/19,"12,764.24"
30/07/19,"12,780.26"
29/07/19,"12,866.93"
26/07/19,"12,870.87"
25/07/19,"12,950.77"
24/07/19,"12,914.93"
23/07/19,"13,012.31"
22/07/19,"12,950.54"
19/07/19,"12,946.05"
18/07/19,"12,857.68"
17/07/19,"13,071.67"
16/07/19,"13,125.64"
15/07/19,"13,027.94"
12/7/2019,"13,026.06"
11/7/2019,"12,980.35"
10/7/2019,"12,995.80"
9/7/2019,"12,874.37"
8/7/2019,"12,848.47"
5/7/2019,"12,841.56"
4/7/2019,"12,730.79"
3/7/2019,"12,655.29"
2/7/2019,"12,523.04"
28/06/19,"12,606.12"
27/06/19,"12,600.74"
26/06/19,"12,604.92"
25/06/19,"12,658.72"
21/06/19,"12,554.19"
20/06/19,"12,627.77"
18/06/19,"12,461.45"
17/06/19,"12,251.92"
14/06/19,"12,276.09"
13/06/19,"12,302.13"
12/6/2019,"12,225.90"
11/6/2019,"12,228.69"
10/6/2019,"12,132.50"
7/6/2019,"12,205.48"
5/6/2019,"12,055.97"
4/6/2019,"12,142.78"
31/05/19,"12,054.85"
30/05/19,"12,079.05"
29/05/19,"12,062.86"
28/05/19,"11,878.01"
27/05/19,"12,048.82"
24/05/19,"12,143.72"
23/05/19,"12,000.92"
22/05/19,"12,146.27"
21/05/19,"12,223.63"
20/05/19,"12,102.69"
17/05/19,"12,237.24"
16/05/19,"12,259.65"
15/05/19,"12,280.21"
14/05/19,"12,291.59"
13/05/19,"12,363.24"
10/5/2019,"12,638.06"
9/5/2019,"12,606.89"
8/5/2019,"12,529.76"
7/5/2019,"12,436.49"
6/5/2019,"12,564.07"
3/5/2019,"12,574.25"
2/5/2019,"12,659.99"
30/04/19,"12,777.89"
29/04/19,"12,872.97"
26/04/19,"12,915.79"
25/04/19,"12,983.01"
24/04/19,"12,922.40"
23/04/19,"13,001.11"
22/04/19,"12,908.11"
17/04/19,"12,801.90"
16/04/19,"12,892.73"
15/04/19,"12,919.14"
12/4/2019,"13,111.73"
11/4/2019,"13,155.04"
10/4/2019,"13,275.96"
9/4/2019,"13,199.19"
8/4/2019,"13,236.15"
5/4/2019,"13,110.93"
4/4/2019,"13,043.49"
3/4/2019,"13,052.92"
2/4/2019,"13,019.35"
1/4/2019,"13,037.57"
29/03/19,"13,060.07"
28/03/19,"12,917.83"
27/03/19,"12,930.34"
26/03/19,"13,188.52"
22/03/19,"13,069.14"
21/03/19,"13,370.32"
20/03/19,"13,195.57"
19/03/19,"13,172.23"
18/03/19,"13,098.62"
15/03/19,"12,933.26"
14/03/19,"12,836.81"
13/03/19,"12,799.72"
12/3/2019,"12,610.84"
11/3/2019,"12,494.58"
8/3/2019,"12,332.18"
7/3/2019,"12,440.65"
6/3/2019,"12,450.09"
5/3/2019,"12,390.12"
4/3/2019,"12,354.03"
1/3/2019,"12,304.91"
28/02/19,"12,269.94"
27/02/19,"12,330.07"
26/02/19,"12,314.25"
25/02/19,"12,227.77"
22/02/19,"12,093.37"
21/02/19,"11,930.39"
20/02/19,"12,008.20"
19/02/19,"11,993.46"
18/02/19,"12,063.81"
15/02/19,"12,034.18"
14/02/19,"11,992.65"
13/02/19,"11,962.22"
12/2/2019,"11,940.86"
11/2/2019,"11,858.64"
8/2/2019,"11,895.63"
7/2/2019,"11,942.64"
6/2/2019,"12,072.30"
5/2/2019,"12,120.07"
4/2/2019,"12,009.34"
1/2/2019,"11,898.61"
31/01/19,"11,943.06"
30/01/19,"11,876.29"
29/01/19,"11,808.49"
28/01/19,"11,750.98"
25/01/19,"11,729.12"
24/01/19,"11,724.12"
23/01/19,"11,640.13"
22/01/19,"11,702.17"
21/01/19,"11,674.29"
18/01/19,"11,644.62"
17/01/19,"11,630.11"
16/01/19,"11,656.46"
15/01/19,"11,645.69"
14/01/19,"11,605.59"
11/1/2019,"11,621.44"
10/1/2019,"11,628.48"
9/1/2019,"11,605.60"
8/1/2019,"11,465.19"
4/1/2019,"11,417.25"
3/1/2019,"11,342.93"
2/1/2019,"11,171.95"
28/12/18,"11,139.27"
27/12/18,"11,172.19"
26/12/18,"11,123.01"
24/12/18,"10,908.20"
21/12/18,"11,013.71"
20/12/18,"11,071.83"
19/12/18,"11,318.22"
18/12/18,"11,361.04"
17/12/18,"11,396.00"
14/12/18,"11,538.49"
13/12/18,"11,613.43"
12/12/2018,"11,686.00"
11/12/2018,"11,662.22"
10/12/2018,"11,718.41"
7/12/2018,"11,853.53"
6/12/2018,"11,834.46"
5/12/2018,"12,057.84"
4/12/2018,"11,977.70"
3/12/2018,"12,033.77"
30/11/18,"11,943.14"
29/11/18,"11,994.61"
28/11/18,"11,945.35"
27/11/18,"11,984.89"
26/11/18,"12,019.01"
23/11/18,"11,914.29"
22/11/18,"12,006.64"
