Open,Close,High,Low,Volume,Date
997.204,997.20437,997.20437,997.204,,8/10/2022
1001.69,1001.69,1001.69,1001.69,,8/9/2022
1001.789,1001.78895,1001.789,1001.78895,,8/8/2022
1002.872,1002.87208,1002.87208,1002.872,,8/5/2022
994.591,994.59058,994.591,994.59058,,8/4/2022
985.81,985.81045,985.81045,985.81,,8/3/2022
984.322,984.32242,984.32242,984.322,,8/2/2022
995.039,995.03876,995.039,995.03876,,8/1/2022
993.782,993.78156,993.782,993.78156,,7/29/2022
997.609,997.60904,997.60904,997.609,,7/28/2022
989.887,989.88702,989.88702,989.887,,7/27/2022
989.92355,989.924,989.924,989.92355,,7/26/2022
987.076,987.076,987.076,987.076,,7/25/2022
990.372,990.3716,990.372,990.3716,,7/22/2022
990.689,990.6888,990.689,990.6888,,7/21/2022
986.565,986.56461,986.565,986.56461,,7/20/2022
979.94,979.94049,979.94049,979.94,,7/19/2022
980.479,980.47894,980.479,980.47894,,7/18/2022
961.854,961.8536,961.854,961.8536,,7/15/2022
965.452,965.45244,965.45244,965.452,,7/14/2022
970.458,970.4584,970.4584,970.458,,7/13/2022
967.311,967.31084,967.311,967.31084,,7/12/2022
981.148,981.14844,981.14844,981.148,,7/11/2022
999.575,999.57461,999.575,999.57461,,7/8/2022
994.342,994.34157,994.342,994.34157,,7/7/2022
981.014,981.0142,981.0142,981.014,,7/6/2022
991.471,991.47145,991.47145,991.471,,7/5/2022
992.799,992.79929,992.79929,992.799,,7/4/2022
992.836,992.836,992.836,992.836,,7/1/2022
1000.668,1000.66813,1000.66813,1000.668,,6/30/2022
1013.204,1013.20411,1013.20411,1013.204,,6/29/2022
1030.074,1030.0736,1030.074,1030.0736,,6/28/2022
1027.547,1027.54741,1027.54741,1027.547,,6/27/2022
1011.178,1011.17816,1011.17816,1011.178,,6/24/2022
995.336,995.33631,995.33631,995.336,,6/23/2022
993.588,993.58832,993.58832,993.588,,6/22/2022
1016.98,1016.98001,1016.98001,1016.98,,6/21/2022
1000.422,1000.42168,1000.422,1000.42168,,6/20/2022
1004.633,1004.63311,1004.63311,1004.633,,6/17/2022
1008.112,1008.11242,1008.11242,1008.112,,6/16/2022
1020.096,1020.09597,1020.096,1020.09597,,6/15/2022
1017.866,1017.86639,1017.86639,1017.866,,6/14/2022
1016.455,1016.45542,1016.45542,1016.455,,6/13/2022
1054.638,1054.6377,1054.638,1054.6377,,6/10/2022
1067.148,1067.14761,1067.148,1067.14761,,6/9/2022
1073.739,1073.73921,1073.73921,1073.739,,6/8/2022
1061.019,1061.01883,1061.019,1061.01883,,6/7/2022
1071.333,1071.33287,1071.333,1071.33287,,6/6/2022
1060.741,1060.74139,1060.74139,1060.741,,6/3/2022
1061.439,1061.43898,1061.439,1061.43898,,6/2/2022
1067.857,1067.8565,1067.857,1067.8565,,6/1/2022
1077.666,1077.66589,1077.666,1077.66589,,5/31/2022
1065.091,1065.09114,1065.09114,1065.091,,5/30/2022
1043.17,1043.17043,1043.17043,1043.17,,5/27/2022
1022.96,1022.9597,1022.96,1022.9597,,5/26/2022
1019.594,1019.59357,1019.594,1019.59357,,5/25/2022
1016.99,1016.99032,1016.99032,1016.99,,5/24/2022
1034.508,1034.50842,1034.50842,1034.508,,5/23/2022
1035.306,1035.30628,1035.30628,1035.306,,5/20/2022
1014.886,1014.88638,1014.88638,1014.886,,5/19/2022
1033.185,1033.18499,1033.185,1033.18499,,5/18/2022
1030.826,1030.82559,1030.826,1030.82559,,5/17/2022
1007.504,1007.50406,1007.50406,1007.504,,5/16/2022
1004.519,1004.51871,1004.519,1004.51871,,5/13/2022
987.819,987.81942,987.81942,987.819,,5/12/2022
1011.218,1011.21753,1011.218,1011.21753,,5/11/2022
1007.218,1007.21843,1007.21843,1007.218,,5/10/2022
1014.683,1014.68332,1014.68332,1014.683,,5/9/2022
1031.502,1031.50196,1031.502,1031.50196,,5/6/2022
1058.722,1058.72202,1058.72202,1058.722,,5/5/2022
1063.839,1063.83865,1063.839,1063.83865,,5/4/2022
1069.238,1069.23777,1069.238,1069.23777,,5/3/2022
1072.564,1072.5643,1072.5643,1072.564,,5/2/2022
1076.19,1076.18998,1076.19,1076.18998,,4/29/2022
1053.817,1053.81694,1053.817,1053.81694,,4/28/2022
1043.744,1043.74396,1043.744,1043.74396,,4/27/2022
1049.394,1049.39419,1049.39419,1049.394,,4/26/2022
1046.043,1046.04301,1046.04301,1046.043,,4/25/2022
1075.598,1075.59809,1075.59809,1075.598,,4/22/2022
1086.926,1086.92633,1086.92633,1086.926,,4/21/2022
1095.629,1095.62915,1095.62915,1095.629,,4/20/2022
1096.002,1096.00213,1096.00213,1096.002,,4/19/2022
1106.678,1106.67753,1106.678,1106.67753,,4/18/2022
1112.899,1112.899,1112.899,1112.899,,4/15/2022
1117.364,1117.36373,1117.364,1117.36373,,4/14/2022
1119.316,1119.3162,1119.3162,1119.316,,4/13/2022
1110.403,1110.40299,1110.403,1110.40299,,4/12/2022
1111.764,1111.76408,1111.76408,1111.764,,4/11/2022
1127.928,1127.92767,1127.928,1127.92767,,4/8/2022
1126.061,1126.06102,1126.06102,1126.061,,4/7/2022
1142.501,1142.50137,1142.50137,1142.501,,4/6/2022
1156.752,1156.75168,1156.752,1156.75168,,4/5/2022
1161.645,1161.64546,1161.64546,1161.645,,4/4/2022
1145.848,1145.84784,1145.848,1145.84784,,4/1/2022
1141.787,1141.78724,1141.78724,1141.787,,3/31/2022
1149.303,1149.30257,1149.303,1149.30257,,3/30/2022
1136.448,1136.44833,1136.44833,1136.448,,3/29/2022
1124.815,1124.8155,1124.8155,1124.815,,3/28/2022
1125.009,1125.0087,1125.009,1125.0087,,3/25/2022
1136.949,1136.9491,1136.9491,1136.949,,3/24/2022
1140.722,1140.72181,1140.722,1140.72181,,3/23/2022
1131.409,1131.40941,1131.40941,1131.409,,3/22/2022
1115.264,1115.2638,1115.264,1115.2638,,3/21/2022
1122.982,1122.98153,1122.982,1122.98153,,3/18/2022
1120.933,1120.93308,1120.93308,1120.933,,3/17/2022
1081,1081.00023,1081.00023,1081,,3/16/2022
1026.77,1026.7704,1026.7704,1026.77,,3/15/2022
1055.011,1055.01053,1055.011,1055.01053,,3/14/2022
1085.663,1085.66305,1085.66305,1085.663,,3/11/2022
1102.739,1102.73946,1102.73946,1102.739,,3/10/2022
1090.673,1090.67255,1090.673,1090.67255,,3/9/2022
1096.047,1096.04729,1096.04729,1096.047,,3/8/2022
1107.3,1107.30007,1107.30007,1107.3,,3/7/2022
1144.907,1144.9067,1144.907,1144.9067,,3/4/2022
1172.558,1172.5582,1172.5582,1172.558,,3/3/2022
1168.407,1168.40662,1168.407,1168.40662,,3/2/2022
1176.429,1176.42947,1176.42947,1176.429,,3/1/2022
1171.31,1171.30992,1171.31,1171.30992,,2/28/2022
1171.988,1171.98844,1171.98844,1171.988,,2/25/2022
1154.863,1154.86277,1154.863,1154.86277,,2/24/2022
1206.857,1206.85664,1206.857,1206.85664,,2/23/2022
1206.63,1206.62978,1206.63,1206.62978,,2/22/2022
1219.46,1219.46048,1219.46048,1219.46,,2/21/2022
1231.774,1231.77367,1231.774,1231.77367,,2/18/2022
1242.921,1242.92066,1242.921,1242.92066,,2/17/2022
1244.188,1244.18786,1244.188,1244.18786,,2/16/2022
1229.051,1229.05097,1229.051,1229.05097,,2/15/2022
1220.416,1220.41602,1220.41602,1220.416,,2/14/2022
1240.507,1240.50685,1240.507,1240.50685,,2/11/2022
1251.092,1251.09235,1251.09235,1251.092,,2/10/2022
1239.79,1239.79031,1239.79031,1239.79,,2/9/2022
1219.805,1219.80497,1219.805,1219.80497,,2/8/2022
1219.329,1219.32867,1219.329,1219.32867,,2/7/2022
1221.1,1221.10013,1221.10013,1221.1,,2/4/2022
1210.27,1210.2703,1210.2703,1210.27,,2/3/2022
1213.23,1213.23003,1213.23003,1213.23,,2/2/2022
1214.006,1214.00608,1214.00608,1214.006,,2/1/2022
1208.232,1208.23156,1208.232,1208.23156,,1/31/2022
1191.135,1191.13546,1191.13546,1191.135,,1/28/2022
1192.061,1192.06094,1192.061,1192.06094,,1/27/2022
1211.447,1211.44689,1211.447,1211.44689,,1/26/2022
1210.451,1210.45144,1210.45144,1210.451,,1/25/2022
1222.162,1222.1621,1222.1621,1222.162,,1/24/2022
1244.307,1244.30701,1244.30701,1244.307,,1/21/2022
1255.742,1255.74153,1255.742,1255.74153,,1/20/2022
1239.83,1239.83015,1239.83015,1239.83,,1/19/2022
1241.576,1241.57621,1241.57621,1241.576,,1/18/2022
1254.399,1254.39899,1254.399,1254.39899,,1/17/2022
1257.463,1257.46335,1257.46335,1257.463,,1/14/2022
1263.3,1263.30022,1263.30022,1263.3,,1/13/2022
1267.339,1267.33889,1267.339,1267.33889,,1/12/2022
1243.042,1243.04206,1243.04206,1243.042,,1/11/2022
1232.268,1232.26775,1232.268,1232.26775,,1/10/2022
1226.102,1226.10213,1226.10213,1226.102,,1/7/2022
1217.072,1217.07225,1217.07225,1217.072,,1/6/2022
1222.736,1222.73616,1222.73616,1222.736,,1/5/2022
1234.948,1234.9475,1234.948,1234.9475,,1/4/2022
1233.502,1233.50154,1233.502,1233.50154,,1/3/2022
1232.008,1232.00786,1232.008,1232.00786,,12/31/2021
1222.747,1222.74676,1222.747,1222.74676,,12/30/2021
1217.934,1217.93395,1217.934,1217.93395,,12/29/2021
1227.116,1227.1158,1227.116,1227.1158,,12/28/2021
1221.755,1221.75547,1221.75547,1221.755,,12/27/2021
1220.549,1220.54857,1220.549,1220.54857,,12/24/2021
1219.595,1219.59454,1219.595,1219.59454,,12/23/2021
1209.878,1209.87833,1209.87833,1209.878,,12/22/2021
1203.66,1203.66004,1203.66004,1203.66,,12/21/2021
1190.084,1190.08429,1190.08429,1190.084,,12/20/2021
1216.296,1216.296,1216.296,1216.296,,12/17/2021
1223.888,1223.88759,1223.888,1223.88759,,12/16/2021
1214.496,1214.49606,1214.49606,1214.496,,12/15/2021
1222.1,1222.09962,1222.1,1222.09962,,12/14/2021
1230.607,1230.60735,1230.60735,1230.607,,12/13/2021
1238.535,1238.53501,1238.53501,1238.535,,12/10/2021
1247.713,1247.71302,1247.71302,1247.713,,12/9/2021
1241.01,1241.00979,1241.01,1241.00979,,12/8/2021
1235.56,1235.55959,1235.56,1235.55959,,12/7/2021
1213.958,1213.95847,1213.95847,1213.958,,12/6/2021
1224.644,1224.64374,1224.644,1224.64374,,12/3/2021
1236.194,1236.19436,1236.19436,1236.194,,12/2/2021
1226.81,1226.80989,1226.81,1226.80989,,12/1/2021
1212.42,1212.42018,1212.42018,1212.42,,11/30/2021
1218.987,1218.98749,1218.98749,1218.987,,11/29/2021
1223.132,1223.13153,1223.132,1223.13153,,11/26/2021
1254.688,1254.68834,1254.68834,1254.688,,11/25/2021
1253.152,1253.15242,1253.15242,1253.152,,11/24/2021
1255.39,1255.39046,1255.39046,1255.39,,11/23/2021
1261.557,1261.55728,1261.55728,1261.557,,11/22/2021
