"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2023","7,412.20","7,495.65","7,504.38","7,359.49","4.51B","-0.78%"
"08/07/2023","7,470.10","7,434.53","7,493.87","7,399.02","3.82B","0.94%"
"08/04/2023","7,400.57","7,256.57","7,427.10","7,205.35","4.30B","2.48%"
"08/03/2023","7,221.51","7,296.00","7,365.61","7,200.81","5.12B","-0.51%"
"08/02/2023","7,258.54","7,180.08","7,336.11","7,174.64","5.35B","1.26%"
"08/01/2023","7,168.51","7,209.59","7,296.57","7,113.31","5.81B","-0.67%"
"07/31/2023","7,216.96","7,143.14","7,256.61","7,117.09","6.52B","2.12%"
"07/28/2023","7,067.28","6,925.41","7,096.99","6,912.00","6.45B","3.08%"
"07/27/2023","6,856.11","6,799.44","6,856.11","6,766.32","5.26B","1.66%"
"07/26/2023","6,743.86","6,606.21","6,744.37","6,583.47","4.65B","2.10%"
"07/25/2023","6,605.04","6,721.45","6,724.52","6,538.29","4.85B","-1.35%"
"07/24/2023","6,695.14","6,730.03","6,807.95","6,626.30","5.18B","0.11%"
"07/21/2023","6,687.78","6,688.10","6,724.42","6,617.69","4.73B","0.08%"
"07/20/2023","6,682.11","6,633.44","6,700.36","6,518.85","5.59B","1.69%"
"07/19/2023","6,571.28","6,370.27","6,572.33","6,299.57","4.21B","3.24%"
"07/18/2023","6,365.00","6,636.70","6,662.17","6,362.68","5.16B","-3.57%"
"07/17/2023","6,600.46","6,501.80","6,603.98","6,476.61","4.37B","2.53%"
"07/14/2023","6,437.74","6,415.52","6,446.01","6,353.91","3.42B","1.09%"
"07/13/2023","6,368.35","6,354.92","6,436.83","6,315.43","5.23B","0.41%"
"07/12/2023","6,342.05","6,360.70","6,410.61","6,287.37","5.76B","-0.33%"
"07/11/2023","6,362.93","6,371.22","6,386.84","6,234.51","5.50B","1.48%"
"07/10/2023","6,270.41","6,264.34","6,290.34","6,228.19","4.12B","1.35%"
"07/07/2023","6,187.09","6,139.81","6,223.26","6,117.06","3.66B","0.75%"
"07/06/2023","6,141.14","6,135.31","6,207.85","6,124.23","4.11B","0.56%"
"07/05/2023","6,106.76","6,026.12","6,121.60","5,889.87","4.05B","1.71%"
"07/04/2023","6,003.90","6,049.69","6,076.72","5,980.08","4.77B","-0.19%"
"07/03/2023","6,015.29","5,867.23","6,018.29","5,867.23","3.73B","4.45%"
"06/27/2023","5,759.11","5,725.06","5,766.58","5,692.86","1.23B","0.46%"
"06/26/2023","5,732.86","5,644.33","5,749.66","5,632.06","2.82B","2.69%"
"06/23/2023","5,582.75","5,509.76","5,593.99","5,478.93","3.40B","2.85%"
"06/22/2023","5,428.26","5,200.23","5,434.61","5,152.81","3.80B","4.65%"
"06/21/2023","5,186.83","5,280.54","5,329.36","5,169.60","2.28B","-1.23%"
"06/20/2023","5,251.61","5,265.04","5,315.50","5,200.33","2.77B","-0.34%"
"06/19/2023","5,269.31","5,485.47","5,485.47","5,269.08","2.64B","-3.77%"
"06/16/2023","5,475.48","5,518.51","5,566.11","5,467.01","2.96B","-0.36%"
"06/15/2023","5,495.48","5,397.75","5,495.48","5,378.25","2.79B","2.51%"
"06/14/2023","5,360.77","5,437.14","5,490.89","5,322.01","3.56B","-1.26%"
"06/13/2023","5,429.05","5,568.10","5,595.19","5,392.80","3.28B","-2.86%"
"06/12/2023","5,588.98","5,673.76","5,730.19","5,588.98","3.34B","-0.67%"
"06/09/2023","5,626.49","5,603.48","5,639.23","5,535.01","3.37B","1.31%"
"06/08/2023","5,554.00","5,549.81","5,593.59","5,458.76","3.58B","-0.13%"
"06/07/2023","5,561.18","5,515.87","5,608.84","5,515.87","5.14B","3.20%"
"06/06/2023","5,388.80","5,372.37","5,439.89","5,314.51","3.47B","0.30%"
"06/05/2023","5,372.66","5,233.23","5,374.58","5,204.48","3.99B","5.04%"
"06/02/2023","5,114.97","5,102.56","5,146.70","5,051.35","3.86B","3.13%"
"06/01/2023","4,959.80","4,928.63","5,007.07","4,928.63","2.60B","1.49%"
"05/31/2023","4,886.91","4,956.26","4,982.45","4,867.95","3.95B","-1.30%"
"05/30/2023","4,951.35","4,840.44","4,972.76","4,830.78","4.37B","3.83%"
"05/29/2023","4,768.56","4,696.17","4,799.98","4,622.26","3.19B","4.10%"
"05/26/2023","4,580.67","4,442.24","4,605.29","4,436.91","2.58B","3.45%"
"05/25/2023","4,427.99","4,440.36","4,471.46","4,404.09","1.81B","0.07%"
"05/24/2023","4,424.92","4,476.91","4,524.13","4,416.18","1.93B","-1.03%"
"05/23/2023","4,470.97","4,467.34","4,499.32","4,436.49","1.93B","0.11%"
"05/22/2023","4,466.19","4,532.60","4,556.78","4,415.66","2.32B","-0.79%"
"05/18/2023","4,501.73","4,681.71","4,699.95","4,489.06","2.64B","-3.43%"
"05/17/2023","4,661.68","4,605.61","4,680.86","4,599.79","2.91B","1.57%"
"05/16/2023","4,589.71","4,405.99","4,589.71","4,405.99","4.03B","1.97%"
"05/15/2023","4,501.21","4,489.58","4,700.01","4,475.45","2.38B","-6.14%"
"05/12/2023","4,795.61","4,897.32","4,982.86","4,758.14","3.66B","-1.08%"
"05/11/2023","4,848.01","4,492.19","4,871.83","4,492.19","4.35B","7.87%"
"05/10/2023","4,494.48","4,544.48","4,554.94","4,485.83","2.31B","-0.92%"
"05/09/2023","4,536.20","4,547.21","4,622.07","4,513.31","2.91B","-0.56%"
"05/08/2023","4,561.94","4,433.26","4,577.73","4,374.14","2.27B","3.66%"
"05/05/2023","4,400.76","4,481.40","4,496.09","4,378.29","1.42B","-1.86%"
"05/04/2023","4,484.35","4,470.23","4,577.73","4,447.53","1.73B","-0.04%"
"05/03/2023","4,485.97","4,517.38","4,534.53","4,311.41","2.06B","-0.45%"
"05/02/2023","4,506.24","4,628.36","4,660.31","4,499.01","1.76B","-2.42%"
"04/28/2023","4,617.93","4,799.51","4,808.50","4,578.14","1.77B","-3.58%"
"04/27/2023","4,789.63","4,777.51","4,831.42","4,750.50","1.90B","0.13%"
"04/26/2023","4,783.50","4,885.94","4,901.39","4,749.11","1.92B","-2.20%"
"04/25/2023","4,891.01","5,034.07","5,042.08","4,881.03","2.03B","-2.62%"
"04/24/2023","5,022.79","5,022.51","5,076.41","5,010.25","1.68B","0.21%"
"04/20/2023","5,012.34","5,037.42","5,037.46","4,997.53","1.05B","-0.97%"
"04/19/2023","5,061.22","5,026.36","5,093.06","4,975.48","2.12B","0.85%"
"04/18/2023","5,018.70","5,076.16","5,105.06","5,011.89","1.92B","-0.80%"
"04/17/2023","5,059.35","5,112.01","5,138.08","5,057.48","1.91B","-0.66%"
"04/14/2023","5,092.88","5,143.38","5,176.58","5,092.88","2.07B","-0.83%"
"04/13/2023","5,135.55","5,164.86","5,195.50","5,131.93","2.60B","-0.21%"
"04/12/2023","5,146.11","5,128.03","5,198.39","5,121.09","2.90B","0.43%"
"04/11/2023","5,124.25","5,110.78","5,143.53","5,082.05","3.05B","0.63%"
"04/10/2023","5,092.31","4,956.02","5,102.42","4,956.02","2.46B","3.40%"
"04/07/2023","4,924.64","4,921.33","4,955.45","4,899.46","1.78B","0.24%"
"04/06/2023","4,912.81","4,920.26","4,970.32","4,890.55","1.67B","-0.14%"
"04/05/2023","4,919.87","4,997.01","5,028.81","4,919.87","2.21B","-1.29%"
"04/04/2023","4,984.11","4,842.42","4,988.55","4,830.55","2.27B","2.99%"
"04/03/2023","4,839.46","4,806.40","4,851.69","4,680.46","2.50B","0.55%"
"03/31/2023","4,812.93","4,876.23","4,881.75","4,790.68","2.58B","-1.70%"
"03/30/2023","4,896.07","4,926.41","5,000.21","4,880.77","2.60B","-0.95%"
"03/29/2023","4,943.18","4,803.11","4,945.96","4,752.91","2.40B","2.74%"
"03/28/2023","4,811.45","5,003.68","5,004.99","4,811.45","2.30B","-3.73%"
"03/27/2023","4,997.80","5,064.79","5,074.03","4,997.80","1.99B","-0.68%"
"03/24/2023","5,031.98","5,078.56","5,117.37","5,000.23","2.10B","-0.59%"
"03/23/2023","5,061.99","4,997.21","5,061.99","4,983.70","2.35B","1.22%"
"03/22/2023","5,001.06","4,931.72","5,001.06","4,890.90","2.31B","1.92%"
"03/21/2023","4,906.63","4,986.26","5,019.89","4,890.44","2.72B","-1.38%"
"03/20/2023","4,975.47","5,119.58","5,137.07","4,971.10","2.83B","-3.13%"
"03/17/2023","5,136.44","5,277.70","5,291.94","5,136.44","2.93B","-1.78%"
"03/16/2023","5,229.58","5,155.49","5,230.70","5,129.83","2.41B","2.11%"
"03/15/2023","5,121.57","5,224.40","5,239.45","5,065.31","3.41B","-1.65%"
"03/14/2023","5,207.32","5,331.39","5,347.89","5,207.32","3.22B","-2.18%"
"03/13/2023","5,323.19","5,414.87","5,429.33","5,283.02","3.35B","-1.14%"
"03/10/2023","5,384.56","5,396.68","5,453.85","5,375.90","3.77B","-1.13%"
