"","PD38026MD"
"","Indicadores bursátiles - Índice General Bursátil BVL (índice)"
02Ene06,4802.25
03Ene06,4807.74
04Ene06,4889.63
05Ene06,4911.53
06Ene06,4820.78
09Ene06,4781.77
10Ene06,4761.74
11Ene06,4651.8
12Ene06,4676.84
13Ene06,4653
16Ene06,4602.95
17Ene06,4740.42
18Ene06,4853.38
19Ene06,4904.42
20Ene06,4998.83
23Ene06,4951.74
24Ene06,5009.36
25Ene06,5119.63
26Ene06,5201
27Ene06,5422.96
30Ene06,5459.96
31Ene06,5680.42
01Feb06,5633.51
02Feb06,5915.82
03Feb06,6130.44
06Feb06,6314.38
07Feb06,6483.58
08Feb06,6289.8
09Feb06,6114.81
10Feb06,5889.66
13Feb06,5837.01
14Feb06,5976.93
15Feb06,6043.49
16Feb06,5899.68
17Feb06,6002.7
20Feb06,6030.41
21Feb06,6062.6
22Feb06,6076.3
23Feb06,6075.93
24Feb06,6064.58
27Feb06,6094.41
28Feb06,6105.53
01Mar06,6080.68
02Mar06,6173.28
03Mar06,6199.54
06Mar06,6113.94
07Mar06,5966.82
08Mar06,5833.82
09Mar06,5734.91
10Mar06,5938.5
13Mar06,5945.85
14Mar06,5718.06
15Mar06,5734.13
16Mar06,5761.73
17Mar06,5967.41
20Mar06,5966.83
21Mar06,5723.26
22Mar06,5812.19
23Mar06,5868.97
24Mar06,5810.15
27Mar06,5817.96
28Mar06,5874.57
29Mar06,5878.5
30Mar06,5943.76
31Mar06,5947.36
03Abr06,5920.5
04Abr06,5933.53
05Abr06,5975.25
06Abr06,6081.27
07Abr06,6067.81
10Abr06,6192.89
11Abr06,6333.83
12Abr06,6218.35
13Abr06,6470.08
14Abr06,6470.08
17Abr06,6470.08
18Abr06,6635.01
19Abr06,6813.09
20Abr06,6804.18
21Abr06,6783.25
24Abr06,6991.78
25Abr06,7016.15
26Abr06,7063.08
27Abr06,7089.02
28Abr06,6963.92
01May06,7142.92
02May06,7142.92
03May06,7184.55
04May06,7006.15
05May06,7053.87
08May06,7121.28
09May06,7284.64
10May06,7477.62
11May06,7612.8
12May06,7763.85
15May06,7689.84
16May06,7581.13
17May06,7523.43
18May06,7335.43
19May06,7204.06
22May06,7142.34
23May06,7175.1
24May06,7441.47
25May06,7333.28
26May06,7423.56
29May06,7503.05
30May06,7452.74
31May06,7306.89
01Jun06,7211.67
02Jun06,7396.98
05Jun06,7700.66
06Jun06,7750.74
07Jun06,7595.07
08Jun06,7758.61
09Jun06,7655.94
12Jun06,7800.73
13Jun06,7768.51
14Jun06,7666.54
15Jun06,7677.78
16Jun06,7860.99
19Jun06,7892.96
20Jun06,7849.42
21Jun06,7788.69
22Jun06,7812.04
23Jun06,7851.42
26Jun06,7874.28
27Jun06,7934.44
28Jun06,7871.94
29Jun06,7930.69
30Jun06,7930.69
03Jul06,8155.8
04Jul06,8288.45
05Jul06,8392.17
06Jul06,8457.14
07Jul06,8527.51
10Jul06,8534.61
11Jul06,8559.34
12Jul06,8724.14
13Jul06,8806.32
14Jul06,8754.87
17Jul06,8856.76
18Jul06,8684.22
19Jul06,8494.78
20Jul06,8614.77
21Jul06,8565.54
24Jul06,8503.6
25Jul06,8509.43
26Jul06,8685.56
27Jul06,8807.47
28Jul06,8826.83
31Jul06,8826.83
01Ago06,8973.69
02Ago06,8908.97
03Ago06,8938.28
04Ago06,8932.55
07Ago06,9064.81
08Ago06,9333.94
09Ago06,9309.41
10Ago06,9382.3
11Ago06,9389.33
14Ago06,9667.33
15Ago06,9659.36
16Ago06,9671.88
17Ago06,9553.3
18Ago06,9576.19
21Ago06,9805.12
22Ago06,9925.11
23Ago06,9835.25
24Ago06,9872.45
25Ago06,9855.29
28Ago06,9906.65
29Ago06,9912.87
30Ago06,9849.78
31Ago06,9849.78
01Set06,10011.95
04Set06,10193.75
05Set06,10270.27
06Set06,10386.74
07Set06,10408.86
08Set06,10409.95
11Set06,10458.23
12Set06,10305.31
13Set06,10245.4
14Set06,10299.44
