Open,Close,High,Low,Volume,Date
1003.711,1003.71147,1003.71147,1003.711,,08/08/23
1016.311,1016.31107,1016.31107,1016.311,,08/07/23
1018.019,1018.01876,1018.019,1018.01876,,08/04/23
1015.805,1015.80527,1015.80527,1015.805,,08/03/23
1019.995,1019.99458,1019.995,1019.99458,,08/02/23
1043.092,1043.09225,1043.09225,1043.092,,08/01/23
1046.912,1046.91165,1046.912,1046.91165,,07/31/23
1043.203,1043.20262,1043.203,1043.20262,,07/28/23
1035.151,1035.15057,1035.151,1035.15057,,07/27/23
1031.88,1031.88033,1031.88033,1031.88,,07/26/23
1032.261,1032.26064,1032.261,1032.26064,,07/25/23
1013.447,1013.4468,1013.447,1013.4468,,07/24/23
1014.584,1014.58361,1014.584,1014.58361,,07/21/23
1018.055,1018.05518,1018.05518,1018.055,,07/20/23
1019.594,1019.59433,1019.59433,1019.594,,07/19/23
1022.119,1022.11918,1022.11918,1022.119,,07/18/23
1027.765,1027.76498,1027.765,1027.76498,,07/17/23
1028.493,1028.49329,1028.49329,1028.493,,07/14/23
1020.531,1020.53112,1020.53112,1020.531,,07/13/23
1005.554,1005.55386,1005.554,1005.55386,,07/12/23
994.894,994.8939,994.894,994.8939,,07/11/23
981.879,981.87889,981.879,981.87889,,07/10/23
980.66,980.65951,980.66,980.65951,,07/07/23
984.687,984.68742,984.68742,984.687,,07/06/23
1001.121,1001.12132,1001.12132,1001.121,,07/05/23
1008.05,1008.05041,1008.05041,1008.05,,07/04/23
1005.111,1005.11108,1005.11108,1005.111,,07/03/23
989.475,989.47508,989.47508,989.475,,06/30/23
987.07,987.06989,987.07,987.06989,,06/29/23
992.06,992.06016,992.06016,992.06,,06/28/23
995.018,995.01785,995.018,995.01785,,06/27/23
989.274,989.27358,989.274,989.27358,,06/26/23
991.914,991.91448,991.91448,991.914,,06/23/23
1001.136,1001.13648,1001.13648,1001.136,,06/22/23
1004.271,1004.27055,1004.271,1004.27055,,06/21/23
1013.237,1013.2374,1013.2374,1013.237,,06/20/23
1023.421,1023.42076,1023.421,1023.42076,,06/19/23
1030.027,1030.02666,1030.027,1030.02666,,06/16/23
1023.588,1023.58836,1023.58836,1023.588,,06/15/23
1014.91,1014.91041,1014.91041,1014.91,,06/14/23
1013.251,1013.25136,1013.25136,1013.251,,06/13/23
1003.138,1003.13755,1003.138,1003.13755,,06/12/23
1002.329,1002.32867,1002.329,1002.32867,,06/09/23
994.077,994.07703,994.07703,994.077,,06/08/23
995.413,995.41324,995.41324,995.413,,06/07/23
988.494,988.49369,988.494,988.49369,,06/06/23
986.685,986.68508,986.68508,986.685,,06/05/23
984.359,984.35866,984.359,984.35866,,06/02/23
961.799,961.79947,961.79947,961.799,,06/01/23
958.527,958.5272,958.5272,958.527,,05/31/23
970.32,970.31982,970.32,970.31982,,05/30/23
971.747,971.74705,971.74705,971.747,,05/29/23
972.86,972.85992,972.86,972.85992,,05/26/23
964.011,964.0111,964.0111,964.011,,05/25/23
970.905,970.90479,970.905,970.90479,,05/24/23
978.603,978.60311,978.60311,978.603,,05/23/23
983.268,983.2676,983.268,983.2676,,05/22/23
977.243,977.24313,977.24313,977.243,,05/19/23
978.163,978.16293,978.163,978.16293,,05/18/23
975.833,975.83282,975.833,975.83282,,05/17/23
979.242,979.24215,979.24215,979.242,,05/16/23
977.484,977.48444,977.48444,977.484,,05/15/23
972.996,972.99564,972.996,972.99564,,05/12/23
977.824,977.824,977.824,977.824,,05/11/23
979.643,979.64259,979.643,979.64259,,05/10/23
982.244,982.24419,982.24419,982.244,,05/09/23
989.437,989.437,989.437,989.437,,05/08/23
981.663,981.66316,981.66316,981.663,,05/05/23
976.364,976.36429,976.36429,976.364,,05/04/23
969.623,969.62347,969.62347,969.623,,05/03/23
973.937,973.93714,973.93714,973.937,,05/02/23
976.742,976.74237,976.74237,976.742,,05/01/23
977.046,977.04626,977.04626,977.046,,04/28/23
972.185,972.18492,972.185,972.18492,,04/27/23
967.854,967.85434,967.85434,967.854,,04/26/23
965.603,965.60339,965.60339,965.603,,04/25/23
977.384,977.38416,977.38416,977.384,,04/24/23
980.744,980.74428,980.74428,980.744,,04/21/23
989.786,989.78648,989.78648,989.786,,04/20/23
990.372,990.37242,990.37242,990.372,,04/19/23
1000.545,1000.54451,1000.545,1000.54451,,04/18/23
1003.782,1003.78241,1003.78241,1003.782,,04/17/23
1000.493,1000.49261,1000.493,1000.49261,,04/14/23
997.034,997.03382,997.034,997.03382,,04/13/23
993.576,993.57565,993.576,993.57565,,04/12/23
996.247,996.24668,996.247,996.24668,,04/11/23
988.678,988.67821,988.67821,988.678,,04/10/23
987.067,987.067,987.067,987.067,,04/07/23
984.434,984.43354,984.434,984.43354,,04/06/23
987.853,987.85284,987.853,987.85284,,04/05/23
987.615,987.61549,987.61549,987.615,,04/04/23
989.185,989.18471,989.185,989.18471,,04/03/23
990.284,990.2844,990.2844,990.284,,03/31/23
985.769,985.76873,985.769,985.76873,,03/30/23
980.141,980.14081,980.141,980.14081,,03/29/23
970.694,970.69447,970.69447,970.694,,03/28/23
964.014,964.01447,964.01447,964.014,,03/27/23
972.175,972.17492,972.175,972.17492,,03/24/23
977.776,977.77603,977.77603,977.776,,03/23/23
961.482,961.48244,961.48244,961.482,,03/22/23
952.455,952.45471,952.455,952.45471,,03/21/23
942.975,942.97548,942.97548,942.975,,03/20/23
951.563,951.56259,951.563,951.56259,,03/17/23
941.348,941.34828,941.34828,941.348,,03/16/23
946.871,946.87116,946.87116,946.871,,03/15/23
945.117,945.11655,945.117,945.11655,,03/14/23
961.501,961.50056,961.501,961.50056,,03/13/23
955.277,955.27748,955.27748,955.277,,03/10/23
968.385,968.3854,968.3854,968.385,,03/09/23
