"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2023","53,663.02","53,914.19","54,063.14","53,341.98","219.13M","-0.68%"
"08/07/2023","54,032.83","54,014.74","54,151.28","53,761.71","202.50M","0.08%"
"08/04/2023","53,991.42","53,492.31","54,052.21","53,397.58","178.69M","1.02%"
"08/03/2023","53,445.09","53,245.82","53,543.39","53,019.22","231.55M","0.30%"
"08/02/2023","53,283.56","54,185.83","54,185.83","53,206.27","223.70M","-1.71%"
"08/01/2023","54,210.62","54,791.48","54,901.90","54,154.79","185.02M","-1.11%"
"07/31/2023","54,819.05","54,998.42","55,244.82","54,717.55","202.30M","-0.17%"
"07/28/2023","54,910.93","54,707.08","55,169.49","54,593.16","200.94M","0.29%"
"07/27/2023","54,753.39","54,576.89","54,895.25","54,324.72","269.78M","0.46%"
"07/26/2023","54,502.09","54,077.37","54,544.15","53,750.02","217.66M","0.90%"
"07/25/2023","54,013.58","53,599.23","54,097.24","53,570.03","296.83M","0.92%"
"07/24/2023","53,518.91","53,701.46","53,724.10","53,329.97","247.23M","-0.34%"
"07/21/2023","53,702.16","53,336.24","53,782.72","53,336.24","138.25M","0.26%"
"07/20/2023","53,561.37","53,654.67","53,793.30","53,436.10","127.34M","-0.33%"
"07/19/2023","53,740.16","54,060.44","54,323.44","53,681.95","206.09M","-0.55%"
"07/18/2023","54,036.27","53,659.92","54,179.47","53,479.44","166.02M","0.77%"
"07/17/2023","53,623.27","53,652.12","53,934.89","53,409.86","98.35M","-0.27%"
"07/14/2023","53,770.80","54,264.91","54,264.91","53,704.55","152.71M","-0.87%"
"07/13/2023","54,244.01","54,036.03","54,604.36","53,973.41","190.64M","0.53%"
"07/12/2023","53,956.71","54,168.17","54,222.80","53,855.41","237.86M","-0.34%"
"07/11/2023","54,138.14","53,636.96","54,189.51","53,339.38","173.36M","0.90%"
"07/10/2023","53,655.35","53,991.75","53,991.75","53,562.24","133.52M","-0.46%"
"07/07/2023","53,904.29","53,409.32","54,128.64","53,266.69","168.03M","0.93%"
"07/06/2023","53,407.70","54,053.82","54,053.82","53,117.59","213.52M","-1.17%"
"07/05/2023","54,039.66","53,945.50","54,099.86","53,710.39","183.54M","0.20%"
"07/04/2023","53,930.86","54,408.08","54,501.58","53,863.86","23.25M","-0.86%"
"07/03/2023","54,399.10","53,536.94","54,476.66","53,483.69","88.06M","1.63%"
"06/30/2023","53,526.10","53,667.97","53,778.99","53,344.77","222.47M","-0.11%"
