"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2019","604.58","603.60","607.06","603.60","18.22M","-0.21%"
"12/30/2019","605.83","609.77","610.61","605.83","34.03M","-0.85%"
"12/27/2019","611.01","611.12","612.49","609.11","44.62M","0.28%"
"12/24/2019","609.33","609.00","609.78","608.60","14.89M","0.02%"
"12/23/2019","609.22","608.07","609.87","607.20","40.44M","-0.01%"
"12/20/2019","609.26","606.29","609.38","604.52","119.92M","0.58%"
"12/19/2019","605.77","606.46","607.09","604.14","72.15M","-0.04%"
"12/18/2019","606.04","606.30","608.49","605.96","67.37M","-0.03%"
"12/17/2019","606.23","608.03","608.90","605.79","84.50M","-0.73%"
"12/16/2019","610.67","605.89","612.40","605.89","61.81M","1.30%"
"12/13/2019","602.86","605.91","607.58","601.50","99.52M","0.53%"
"12/12/2019","599.71","599.78","602.59","595.76","93.25M","0.13%"
"12/11/2019","598.96","599.25","600.62","596.53","53.98M","-0.16%"
"12/10/2019","599.93","601.14","601.14","593.77","51.50M","-0.39%"
"12/09/2019","602.26","602.40","604.17","601.11","44.88M","-0.01%"
"12/06/2019","602.30","594.04","603.03","593.75","57.01M","1.84%"
"12/05/2019","591.44","592.56","595.96","591.44","56.78M","0.08%"
"12/04/2019","590.99","583.65","591.99","583.65","67.75M","1.38%"
"12/03/2019","582.93","588.80","590.88","581.02","80.15M","-0.71%"
"12/02/2019","587.12","598.17","602.13","585.94","82.82M","-1.70%"
"11/29/2019","597.29","595.67","600.68","595.42","48.91M","-0.10%"
"11/28/2019","597.87","596.81","597.97","596.15","35.42M","-0.08%"
"11/27/2019","598.37","599.34","599.92","597.32","53.23M","0.13%"
"11/26/2019","597.59","596.74","598.40","594.55","105.53M","0.16%"
"11/25/2019","596.66","594.93","597.54","594.87","54.08M","0.67%"
"11/22/2019","592.71","591.15","594.45","590.95","64.25M","0.48%"
"11/21/2019","589.85","589.90","591.75","587.47","62.89M","-0.73%"
"11/20/2019","594.16","594.49","594.61","591.43","65.64M","-0.42%"
"11/19/2019","596.67","598.96","602.37","595.51","57.04M","-0.25%"
"11/18/2019","598.17","599.62","599.96","595.99","61.05M","-0.13%"
"11/15/2019","598.96","598.06","599.13","595.04","54.84M","0.62%"
"11/14/2019","595.26","596.14","598.31","595.26","62.31M","-0.38%"
"11/13/2019","597.56","597.36","598.40","594.92","73.03M","-0.25%"
"11/12/2019","599.03","597.80","600.35","597.26","64.12M","0.44%"
"11/11/2019","596.39","595.46","597.57","594.76","61.12M","-0.02%"
"11/08/2019","596.50","595.29","597.71","595.16","72.92M","-0.10%"
"11/07/2019","597.11","597.33","597.66","595.34","84.42M","0.37%"
"11/06/2019","594.93","591.31","595.68","591.30","83.57M","0.72%"
"11/05/2019","590.65","585.82","590.92","585.69","88.16M","0.87%"
"11/04/2019","585.55","583.05","587.14","582.60","86.95M","0.82%"
"11/01/2019","580.78","578.25","582.41","578.11","63.97M","0.72%"
"10/31/2019","576.63","582.22","582.61","575.56","99.17M","-0.86%"
"10/30/2019","581.61","580.74","582.28","578.31","71.22M","-0.04%"
"10/29/2019","581.82","584.12","584.12","580.47","82.51M","-0.32%"
"10/28/2019","583.68","582.96","585.25","581.24","64.51M","-0.02%"
"10/25/2019","583.81","582.88","583.81","580.03","69.37M","0.25%"
"10/24/2019","582.37","577.96","582.50","577.96","75.00M","1.11%"
"10/23/2019","575.97","573.77","577.10","573.15","70.53M","-0.08%"
"10/22/2019","576.41","576.02","576.90","573.65","63.41M","0.09%"
"10/21/2019","575.92","573.42","576.60","572.88","71.72M","0.56%"
"10/18/2019","572.72","575.37","575.82","571.63","68.73M","-0.62%"
"10/17/2019","576.27","575.52","579.88","575.28","81.86M","-0.10%"
"10/16/2019","576.86","579.47","581.59","576.71","86.87M","-0.52%"
"10/15/2019","579.87","579.25","581.07","576.29","77.31M","0.81%"
"10/14/2019","575.21","575.84","576.11","571.75","64.64M","-0.38%"
"10/11/2019","577.42","569.59","577.42","568.83","104.18M","1.59%"
"10/10/2019","568.37","566.46","569.05","559.74","83.44M","0.46%"
"10/09/2019","565.75","562.88","567.61","561.48","73.99M","0.54%"
"10/08/2019","562.72","570.16","570.77","562.72","63.30M","-1.21%"
"10/07/2019","569.60","564.18","569.91","563.78","56.15M","0.89%"
"10/04/2019","564.59","560.66","564.59","559.12","68.40M","1.09%"
"10/03/2019","558.50","556.88","560.48","553.85","76.99M","0.09%"
"10/02/2019","558.01","573.10","573.10","558.01","98.76M","-2.77%"
"10/01/2019","573.89","582.65","584.29","573.40","80.95M","-1.09%"
"09/30/2019","580.23","577.12","580.49","576.51","68.10M","0.33%"
"09/27/2019","578.31","577.86","580.04","576.90","64.42M","0.10%"
"09/26/2019","577.72","573.18","579.14","572.92","89.76M","0.75%"
"09/25/2019","573.42","572.07","573.42","567.33","68.75M","-0.25%"
"09/24/2019","574.84","575.41","576.65","574.77","58.34M","0.03%"
"09/23/2019","574.67","575.96","576.94","572.00","67.87M","-0.48%"
"09/20/2019","577.44","579.16","580.52","577.41","140.98M","-0.28%"
"09/19/2019","579.08","575.47","579.51","575.47","72.94M","0.41%"
"09/18/2019","576.69","574.53","578.19","574.22","61.89M","0.31%"
"09/17/2019","574.93","573.22","575.46","572.43","78.08M","0.26%"
"09/16/2019","573.46","575.03","575.56","572.78","81.41M","-0.58%"
"09/13/2019","576.83","574.36","577.68","573.54","82.92M","0.35%"
"09/12/2019","574.79","575.00","577.97","571.36","101.84M","0.28%"
"09/11/2019","573.17","570.04","573.46","570.04","87.02M","0.82%"
"09/10/2019","568.49","569.06","569.28","566.18","108.95M","0.06%"
"09/09/2019","568.13","570.59","570.70","567.14","71.76M","-0.30%"
"09/06/2019","569.84","568.52","570.39","567.73","83.12M","0.13%"
"09/05/2019","569.10","567.48","569.10","566.06","75.07M","1.00%"
"09/04/2019","563.46","563.17","564.96","561.48","61.45M","0.80%"
"09/03/2019","559.01","558.73","559.78","556.48","64.88M","-0.13%"
"09/02/2019","559.71","559.25","561.97","559.15","45.33M","0.24%"
"08/30/2019","558.35","555.26","559.50","555.15","78.51M","0.73%"
"08/29/2019","554.28","547.62","555.87","547.23","81.65M","1.08%"
"08/28/2019","548.38","545.69","548.93","543.57","58.89M","0.20%"
"08/27/2019","547.28","542.13","547.54","540.98","73.72M","0.73%"
"08/26/2019","543.32","539.58","545.33","538.74","44.86M","0.23%"
"08/23/2019","542.09","549.27","550.23","542.09","69.41M","-0.88%"
"08/22/2019","546.90","548.61","550.95","545.82","75.67M","-0.64%"
"08/21/2019","550.42","545.95","551.09","545.95","57.07M","0.95%"
"08/20/2019","545.23","547.38","550.03","544.22","66.39M","-0.49%"
"08/19/2019","547.91","546.32","548.58","544.58","73.86M","1.10%"
"08/16/2019","541.94","536.75","542.26","536.40","109.87M","1.33%"
"08/15/2019","534.84","537.37","537.90","528.68","110.07M","-0.34%"
"08/14/2019","536.66","546.89","546.89","533.54","94.10M","-1.65%"
"08/13/2019","545.69","541.28","549.56","537.05","102.30M","0.65%"
"08/12/2019","542.14","545.37","548.24","540.93","69.23M","-0.01%"
"08/09/2019","542.22","547.19","548.14","540.77","82.10M","-1.21%"
"08/08/2019","548.88","544.39","548.88","542.27","88.46M","1.73%"
"08/07/2019","539.57","539.42","544.82","534.87","103.15M","0.43%"
"08/06/2019","537.28","538.86","543.38","537.14","96.91M","-0.68%"
"08/05/2019","540.94","547.57","548.46","539.65","114.10M","-2.41%"
"08/02/2019","554.32","560.52","562.24","553.04","156.02M","-3.17%"
"08/01/2019","572.46","564.98","572.46","564.98","110.75M","0.06%"
"07/31/2019","572.09","573.18","574.32","571.32","72.26M","-0.39%"
"07/30/2019","574.34","580.51","580.51","573.26","72.52M","-0.90%"
"07/29/2019","579.55","578.12","582.54","577.50","69.38M","-0.09%"
"07/26/2019","580.08","579.16","581.05","577.74","72.12M","0.22%"
