Date;Price;Open;High;Low;Vol.;Change %
12/30/2019;93145.00;93390.00;93562.00;93139.00;;-0.26
12/27/2019;93389.00;93520.00;94064.00;93216.00;;-0.14
12/23/2019;93520.00;92825.00;93520.00;92825.00;;0.75
12/20/2019;92821.00;92257.00;93003.00;92257.00;;0.61
12/19/2019;92256.00;91652.00;92256.00;91466.00;;0.66
12/18/2019;91651.00;91404.00;91682.00;91044.00;;0.27
12/17/2019;91403.00;91614.00;91751.00;91362.00;;-0.23
12/16/2019;91615.00;91139.00;91678.00;91136.00;;0.52
12/13/2019;91139.00;90520.00;91367.00;90520.00;;0.69
12/12/2019;90515.00;90023.00;90712.00;89973.00;;0.55
12/11/2019;90022.00;90422.00;90422.00;89777.00;;-0.43
12/10/2019;90412.00;90795.00;90796.00;89916.00;;-0.43
12/09/2019;90800.00;90652.00;90847.00;90156.00;;0.17
12/06/2019;90647.00;89765.00;90676.00;89678.00;;0.98
12/05/2019;89765.00;89866.00;90196.00;89688.00;;-0.11
12/04/2019;89864.00;88421.00;89864.00;88411.00;;1.63
12/03/2019;88421.00;89082.00;89438.00;88247.00;;-0.74
12/02/2019;89081.00;90245.00;90601.00;89079.00;;-1.29
11/29/2019;90245.00;90834.00;90835.00;90060.00;;-0.65
11/28/2019;90836.00;91212.00;91226.00;90811.00;;-0.43
11/27/2019;91228.00;91097.00;91313.00;90870.00;;0.14
11/26/2019;91097.00;91511.00;91631.00;90978.00;;-0.39
11/25/2019;91452.00;90979.00;91556.00;90978.00;;0.52
11/22/2019;90980.00;90014.00;90993.00;90014.00;;1.08
11/21/2019;90008.00;90081.00;90085.00;89586.00;;-0.08
11/20/2019;90083.00;90347.00;90350.00;89363.00;;-0.29
11/19/2019;90349.00;90267.00;90755.00;90193.00;;0.09
11/18/2019;90264.00;90358.00;90797.00;89951.00;;-0.1
11/15/2019;90358.00;90785.00;90849.00;89885.00;;-0.47
11/14/2019;90782.00;90902.00;91178.00;90679.00;;-0.13
11/13/2019;90903.00;91586.00;91586.00;90490.00;;-0.71
11/12/2019;91550.00;91783.00;92005.00;91252.00;;-0.25
11/11/2019;91782.00;91600.00;91782.00;91059.00;;0.2
11/08/2019;91602.00;91814.00;91841.00;91245.00;;-0.23
11/07/2019;91813.00;91041.00;91813.00;90836.00;;0.85
11/06/2019;91041.00;90832.00;91041.00;90456.00;;0.23
11/05/2019;90830.00;90817.00;91125.00;90619.00;;0.02
11/04/2019;90811.00;90364.00;90911.00;90286.00;;0.49
11/01/2019;90364.00;89798.00;90447.00;89670.00;;0.62
