Date;Price;Open;High;Low;Vol.;Change %
12/30/2019;115.65;116.53;117.09;115.60;3.67M;-0.76
12/27/2019;116.53;117.21;117.80;116.00;3.91M;-0.57
12/26/2019;117.20;115.86;117.22;115.67;3.79M;1.16
12/23/2019;115.86;115.12;115.86;114.96;4.00M;0.64
12/20/2019;115.12;115.13;115.17;114.53;6.89M;-0.01
12/19/2019;115.13;114.31;115.13;113.71;5.78M;0.71
12/18/2019;114.32;112.62;114.34;112.30;7.94M;1.51
12/17/2019;112.62;111.90;112.70;111.90;5.35M;0.64
12/16/2019;111.90;112.57;113.20;111.90;6.08M;-0.59
12/13/2019;112.57;112.21;112.83;111.78;7.71M;0.33
12/12/2019;112.20;110.96;112.45;110.96;5.68M;1.11
12/11/2019;110.96;110.67;111.23;110.53;5.15M;0.26
12/10/2019;110.67;110.97;111.18;110.13;4.76M;-0.28
12/09/2019;110.98;111.13;111.45;110.87;4.99M;-0.13
12/06/2019;111.13;110.62;111.43;110.62;4.97M;0.46
12/05/2019;110.62;110.30;111.07;110.01;4.40M;0.29
12/04/2019;110.30;108.96;110.30;108.96;4.89M;1.23
12/03/2019;108.96;108.93;109.20;108.19;5.22M;0.03
12/02/2019;108.93;108.23;109.28;108.23;4.71M;0.64
11/29/2019;108.23;108.29;108.71;107.76;4.19M;-0.05
11/28/2019;108.29;107.71;108.33;107.15;3.67M;0.54
11/27/2019;107.71;107.06;107.99;106.31;4.42M;0.61
11/26/2019;107.06;108.42;108.42;106.41;6.90M;-1.26
11/25/2019;108.42;108.69;108.92;108.08;4.51M;-0.25
11/22/2019;108.69;107.50;108.69;107.16;4.80M;1.11
11/21/2019;107.50;105.87;107.50;105.86;5.82M;1.54
11/19/2019;105.86;106.27;106.95;105.37;3.61M;-0.38
11/18/2019;106.27;106.57;107.52;106.25;4.92M;-0.27
11/14/2019;106.56;106.05;106.76;105.82;5.36M;0.47
11/13/2019;106.06;106.75;106.79;105.26;5.34M;-0.65
11/12/2019;106.75;108.37;108.37;106.23;5.22M;-1.49
11/11/2019;108.37;107.62;108.37;106.81;3.93M;0.69
11/08/2019;107.63;109.57;109.57;107.13;5.42M;-1.78
11/07/2019;109.58;108.36;109.67;108.36;6.08M;1.13
11/06/2019;108.36;108.72;109.63;107.45;5.51M;-0.33
11/05/2019;108.72;108.78;109.34;108.25;5.66M;-0.06
11/04/2019;108.78;108.20;109.35;108.20;5.18M;0.54
11/01/2019;108.20;107.22;108.50;107.22;5.47M;0.91
10/31/2019;107.22;108.40;108.40;106.36;5.38M;-1.1
10/30/2019;108.41;107.56;108.41;106.62;5.45M;0.79
10/29/2019;107.56;108.19;108.20;107.31;4.31M;-0.58
10/28/2019;108.19;107.37;108.39;107.36;3.97M;0.77
10/25/2019;107.36;106.99;108.08;106.99;5.40M;0.35
10/24/2019;106.99;107.55;107.74;106.59;5.62M;-0.52
10/23/2019;107.54;107.38;107.96;107.04;4.66M;0.15
10/22/2019;107.38;106.02;107.42;105.93;5.22M;1.28
10/21/2019;106.02;104.73;106.03;104.70;3.50M;1.23
10/18/2019;104.73;105.01;105.46;104.53;4.48M;-0.27
10/17/2019;105.02;105.39;105.89;104.83;4.19M;-0.39
10/16/2019;105.42;104.49;105.46;103.52;4.51M;0.89
10/15/2019;104.49;104.30;105.05;104.05;4.09M;0.18
10/14/2019;104.30;103.83;104.31;103.44;2.99M;0.45
