Date;Price;Open;High;Low;Vol.;Change %
12/30/2019;6,299.54;6,329.13;6,336.92;6,289.55;4.76B;-0.47
12/27/2019;6,329.31;6,321.57;6,337.34;6,312.38;4.21B;0.16
12/26/2019;6,319.44;6,303.06;6,326.27;6,303.06;3.36B;0.21
12/23/2019;6,305.91;6,309.67;6,315.72;6,270.54;3.91B;0.34
12/20/2019;6,284.37;6,257.16;6,284.37;6,231.47;5.28B;0.55
12/19/2019;6,249.93;6,274.39;6,281.42;6,235.84;4.76B;-0.59
12/18/2019;6,287.25;6,243.32;6,287.25;6,219.33;4.99B;0.69
12/17/2019;6,244.35;6,223.44;6,244.35;6,205.63;5.33B;0.53
12/16/2019;6,211.59;6,197.31;6,237.92;6,197.31;5.53B;0.23
12/13/2019;6,197.32;6,181.06;6,197.32;6,167.64;4.85B;0.94
12/12/2019;6,139.40;6,185.42;6,201.02;6,139.40;5.18B;-0.66
12/11/2019;6,180.10;6,190.58;6,204.60;6,171.93;4.96B;-0.06
12/10/2019;6,183.50;6,186.75;6,205.13;6,179.52;5.11B;-0.17
12/09/2019;6,193.79;6,194.08;6,210.78;6,180.84;5.48B;0.11
12/06/2019;6,186.87;6,160.78;6,186.87;6,145.12;4.91B;0.56
12/05/2019;6,152.12;6,132.04;6,157.93;6,131.59;5.23B;0.64
12/04/2019;6,112.88;6,121.33;6,127.98;6,095.31;5.03B;-0.34
12/03/2019;6,133.90;6,119.90;6,148.37;6,107.64;5.26B;0.06
12/02/2019;6,130.06;6,023.61;6,130.06;6,023.01;5.26B;1.97
11/29/2019;6,011.83;5,949.88;6,015.70;5,939.40;5.10B;0.99
11/28/2019;5,953.06;6,013.27;6,036.83;5,945.75;5.17B;-1.16
11/27/2019;6,023.04;6,025.94;6,052.49;6,002.99;5.74B;-0.05
11/26/2019;6,026.19;6,091.24;6,096.66;6,026.19;8.12B;-0.73
11/25/2019;6,070.76;6,094.75;6,105.10;6,052.27;4.85B;-0.48
11/22/2019;6,100.24;6,115.79;6,122.48;6,086.83;5.14B;-0.28
11/21/2019;6,117.36;6,135.76;6,137.27;6,099.57;5.08B;-0.61
11/20/2019;6,155.11;6,136.25;6,167.41;6,123.58;5.17B;0.05
11/19/2019;6,152.09;6,136.94;6,152.09;6,113.33;5.14B;0.48
11/18/2019;6,122.63;6,126.41;6,134.31;6,098.08;4.71B;-0.09
11/15/2019;6,128.35;6,115.76;6,137.36;6,092.62;4.62B;0.48
11/14/2019;6,098.95;6,137.54;6,146.40;6,062.98;7.22B;-0.71
11/13/2019;6,142.50;6,177.66;6,183.83;6,132.25;5.19B;-0.62
11/12/2019;6,180.99;6,135.49;6,180.99;6,133.53;5.77B;0.52
11/11/2019;6,148.74;6,171.44;6,182.82;6,127.88;4.73B;-0.47
11/08/2019;6,177.99;6,165.77;6,180.20;6,139.82;6.07B;0.2
11/07/2019;6,165.62;6,234.60;6,235.64;6,119.42;6.73B;-0.84
