Date;Price;Open;High;Low;Vol.;Change %
12/31/2019;60458.00;60360.00;60706.00;60360.00;18.22M;-0.21
12/30/2019;60583.00;60977.00;61061.00;60583.00;34.03M;-0.85
12/27/2019;61101.00;61112.00;61249.00;60911.00;44.62M;0.28
12/24/2019;60933.00;60900.00;60978.00;60860.00;14.89M;0.02
12/23/2019;60922.00;60807.00;60987.00;60720.00;40.44M;-0.01
12/20/2019;60926.00;60629.00;60938.00;60452.00;119.92M;0.58
12/19/2019;60577.00;60646.00;60709.00;60414.00;72.15M;-0.04
12/18/2019;60604.00;60630.00;60849.00;60596.00;67.37M;-0.03
12/17/2019;60623.00;60803.00;60890.00;60579.00;84.50M;-0.73
12/16/2019;61067.00;60589.00;61240.00;60589.00;61.81M;1.3
12/13/2019;60286.00;60591.00;60758.00;60150.00;99.52M;0.53
12/12/2019;59971.00;59978.00;60259.00;59576.00;93.25M;0.13
12/11/2019;59896.00;59925.00;60062.00;59653.00;53.98M;-0.16
12/10/2019;59993.00;60114.00;60114.00;59377.00;51.50M;-0.39
12/09/2019;60226.00;60240.00;60417.00;60111.00;44.88M;-0.01
12/06/2019;60230.00;59404.00;60303.00;59375.00;57.01M;1.84
12/05/2019;59144.00;59256.00;59596.00;59144.00;56.78M;0.08
12/04/2019;59099.00;58365.00;59199.00;58365.00;67.75M;1.38
12/03/2019;58293.00;58880.00;59088.00;58102.00;80.15M;-0.71
12/02/2019;58712.00;59817.00;60213.00;58594.00;82.82M;-1.7
11/29/2019;59729.00;59567.00;60068.00;59542.00;48.91M;-0.1
11/28/2019;59787.00;59681.00;59797.00;59615.00;35.42M;-0.08
11/27/2019;59837.00;59934.00;59992.00;59732.00;53.23M;0.13
11/26/2019;59759.00;59674.00;59840.00;59455.00;105.53M;0.16
11/25/2019;59666.00;59493.00;59754.00;59487.00;54.08M;0.67
11/22/2019;59271.00;59115.00;59445.00;59095.00;64.25M;0.48
11/21/2019;58985.00;58990.00;59175.00;58747.00;62.89M;-0.73
11/20/2019;59416.00;59449.00;59461.00;59143.00;65.64M;-0.42
11/19/2019;59667.00;59896.00;60237.00;59551.00;57.04M;-0.25
11/18/2019;59817.00;59962.00;59996.00;59599.00;61.05M;-0.13
11/15/2019;59896.00;59806.00;59913.00;59504.00;54.84M;0.62
11/14/2019;59526.00;59614.00;59831.00;59526.00;62.31M;-0.38
11/13/2019;59756.00;59736.00;59840.00;59492.00;73.03M;-0.25
11/12/2019;59903.00;59780.00;60035.00;59726.00;64.12M;0.44
11/11/2019;59639.00;59546.00;59757.00;59476.00;61.12M;-0.02
11/08/2019;59650.00;59529.00;59771.00;59516.00;72.92M;-0.1
11/07/2019;59711.00;59733.00;59766.00;59534.00;84.42M;0.37
11/06/2019;59493.00;59131.00;59568.00;59130.00;83.57M;0.72
11/05/2019;59065.00;58582.00;59092.00;58569.00;88.16M;0.87
11/04/2019;58555.00;58305.00;58714.00;58260.00;86.95M;0.82
11/01/2019;58078.00;57825.00;58241.00;57811.00;63.97M;0.72
10/31/2019;57663.00;58222.00;58261.00;57556.00;99.17M;-0.86
10/30/2019;58161.00;58074.00;58228.00;57831.00;71.22M;-0.04
10/29/2019;58182.00;58412.00;58412.00;58047.00;82.51M;-0.32
10/28/2019;58368.00;58296.00;58525.00;58124.00;64.51M;-0.02
10/25/2019;58381.00;58288.00;58381.00;58003.00;69.37M;0.25
10/24/2019;58237.00;57796.00;58250.00;57796.00;75.00M;1.11
10/23/2019;57597.00;57377.00;57710.00;57315.00;70.53M;-0.08
10/22/2019;57641.00;57602.00;57690.00;57365.00;63.41M;0.09
10/21/2019;57592.00;57342.00;57660.00;57288.00;71.72M;0.56
10/18/2019;57272.00;57537.00;57582.00;57163.00;68.73M;-0.62
10/17/2019;57627.00;57552.00;57988.00;57528.00;81.86M;-0.1
10/16/2019;57686.00;57947.00;58159.00;57671.00;86.87M;-0.52
10/15/2019;57987.00;57925.00;58107.00;57629.00;77.31M;0.81
10/14/2019;57521.00;57584.00;57611.00;57175.00;64.64M;-0.38
10/11/2019;57742.00;56959.00;57742.00;56883.00;104.18M;1.59
10/10/2019;56837.00;56646.00;56905.00;55974.00;83.44M;0.46
10/09/2019;56575.00;56288.00;56761.00;56148.00;73.99M;0.54
10/08/2019;56272.00;57016.00;57077.00;56272.00;63.30M;-1.21
10/07/2019;56960.00;56418.00;56991.00;56378.00;56.15M;0.89
10/04/2019;56459.00;56066.00;56459.00;55912.00;68.40M;1.09
10/03/2019;55850.00;55688.00;56048.00;55385.00;76.99M;0.09
10/02/2019;55801.00;57310.00;57310.00;55801.00;98.76M;-2.77
10/01/2019;57389.00;58265.00;58429.00;57340.00;80.95M;-1.09
09/30/2019;58023.00;57712.00;58049.00;57651.00;68.10M;0.33
09/27/2019;57831.00;57786.00;58004.00;57690.00;64.42M;0.1
09/26/2019;57772.00;57318.00;57914.00;57292.00;89.76M;0.75
09/25/2019;57342.00;57207.00;57342.00;56733.00;68.75M;-0.25
09/24/2019;57484.00;57541.00;57665.00;57477.00;58.34M;0.03
09/23/2019;57467.00;57596.00;57694.00;57200.00;67.87M;-0.48
09/20/2019;57744.00;57916.00;58052.00;57741.00;140.98M;-0.28
09/19/2019;57908.00;57547.00;57951.00;57547.00;72.94M;0.41
09/18/2019;57669.00;57453.00;57819.00;57422.00;61.89M;0.31
09/17/2019;57493.00;57322.00;57546.00;57243.00;78.08M;0.26
09/16/2019;57346.00;57503.00;57556.00;57278.00;81.41M;-0.58
09/13/2019;57683.00;57436.00;57768.00;57354.00;82.92M;0.35
09/12/2019;57479.00;57500.00;57797.00;57136.00;101.84M;0.28
09/11/2019;57317.00;57004.00;57346.00;57004.00;87.02M;0.82
09/10/2019;56849.00;56906.00;56928.00;56618.00;108.95M;0.06
09/09/2019;56813.00;57059.00;57070.00;56714.00;71.76M;-0.3
09/06/2019;56984.00;56852.00;57039.00;56773.00;83.12M;0.13
09/05/2019;56910.00;56748.00;56910.00;56606.00;75.07M;1
09/04/2019;56346.00;56317.00;56496.00;56148.00;61.45M;0.8
09/03/2019;55901.00;55873.00;55978.00;55648.00;64.88M;-0.13
09/02/2019;55971.00;55925.00;56197.00;55915.00;45.33M;0.24
08/30/2019;55835.00;55526.00;55950.00;55515.00;78.51M;0.73
08/29/2019;55428.00;54762.00;55587.00;54723.00;81.65M;1.08
08/28/2019;54838.00;54569.00;54893.00;54357.00;58.89M;0.2
08/27/2019;54728.00;54213.00;54754.00;54098.00;73.72M;0.73
08/26/2019;54332.00;53958.00;54533.00;53874.00;44.86M;0.23
08/23/2019;54209.00;54927.00;55023.00;54209.00;69.41M;-0.88
08/22/2019;54690.00;54861.00;55095.00;54582.00;75.67M;-0.64
08/21/2019;55042.00;54595.00;55109.00;54595.00;57.07M;0.95
08/20/2019;54523.00;54738.00;55003.00;54422.00;66.39M;-0.49
08/19/2019;54791.00;54632.00;54858.00;54458.00;73.86M;1.1
08/16/2019;54194.00;53675.00;54226.00;53640.00;109.87M;1.33
08/15/2019;53484.00;53737.00;53790.00;52868.00;110.07M;-0.34
08/14/2019;53666.00;54689.00;54689.00;53354.00;94.10M;-1.65
08/13/2019;54569.00;54128.00;54956.00;53705.00;102.30M;0.65
08/12/2019;54214.00;54537.00;54824.00;54093.00;69.23M;-0.01
08/09/2019;54222.00;54719.00;54814.00;54077.00;82.10M;-1.21
08/08/2019;54888.00;54439.00;54888.00;54227.00;88.46M;1.73
08/07/2019;53957.00;53942.00;54482.00;53487.00;103.15M;0.43
08/06/2019;53728.00;53886.00;54338.00;53714.00;96.91M;-0.68
08/05/2019;54094.00;54757.00;54846.00;53965.00;114.10M;-2.41
08/02/2019;55432.00;56052.00;56224.00;55304.00;156.02M;-3.17
08/01/2019;57246.00;56498.00;57246.00;56498.00;110.75M;0.06
07/31/2019;57209.00;57318.00;57432.00;57132.00;72.26M;-0.39
