Date;Price;Open;High;Low;Vol.;Change %
12/30/2019;84335;84672;84762;84331;29.61M;-0.4
12/27/2019;84670;84954;85446;84545;33.51M;-0.32
12/23/2019;84941;84306;84942;84306;27.72M;0.77
12/20/2019;84294;83823;84456;83823;53.31M;0.57
12/19/2019;83816;83237;83825;83098;48.53M;0.7
12/18/2019;83236;83036;83284;82696;36.85M;0.24
12/17/2019;83033;83402;83468;82988;44.96M;-0.45
12/16/2019;83407;82967;83482;82967;36.32M;0.53
12/13/2019;82967;82424;83212;82424;47.08M;0.66
12/12/2019;82421;81887;82606;81846;41.70M;0.64
12/11/2019;81893;82235;82300;81627;35.36M;-0.47
12/10/2019;82281;82770;82770;81784;33.97M;-0.6
12/09/2019;82775;82578;82785;82161;39.20M;0.25
12/06/2019;82572;81718;82619;81677;42.43M;1
12/05/2019;81751;81937;82242;81705;32.34M;-0.22
12/04/2019;81934;80562;81934;80550;51.79M;1.7
12/03/2019;80562;81119;81511;80375;66.67M;-0.69
12/02/2019;81118;82336;82719;81118;55.71M;-1.51
11/29/2019;82358;83037;83037;82242;44.39M;-0.82
11/28/2019;83039;83457;83465;83037;21.45M;-0.52
11/27/2019;83474;83270;83566;83120;30.86M;0.14
11/26/2019;83357;83760;83869;83215;62.05M;-0.4
11/25/2019;83693;83212;83756;83212;30.33M;0.58
11/22/2019;83212;82334;83231;82321;47.62M;1.16
11/21/2019;82261;82297;82328;81846;39.05M;-0.04
11/20/2019;82298;82661;82661;81583;77.92M;-0.44
11/19/2019;82658;82628;83068;82497;92.88M;0.04
11/18/2019;82624;82678;83132;82327;46.18M;-0.06
11/15/2019;82673;83241;83289;82290;49.91M;-0.67
11/14/2019;83233;83563;83632;83155;38.83M;-0.35
11/13/2019;83523;84191;84194;83164;48.76M;-0.8
11/12/2019;84195;84313;84554;83917;39.74M;-0.14
11/11/2019;84312;84248;84312;83620;46.08M;0.07
11/08/2019;84251;84514;84544;83927;44.25M;-0.31
11/07/2019;84513;83755;84515;83554;54.66M;0.91
11/06/2019;83755;83491;83764;83259;52.98M;0.29
11/05/2019;83512;83409;83721;83296;64.10M;0.13
11/04/2019;83402;82980;83513;82886;47.28M;0.51
11/01/2019;82975;82428;83090;82286;34.59M;0.65
10/31/2019;82436;83290;83338;82312;68.34M;-1.03
10/30/2019;83296;83511;83941;83157;58.03M;-0.26
10/29/2019;83511;83917;83919;82924;37.91M;-0.49
10/28/2019;83921;83130;84061;83110;36.49M;0.95
10/25/2019;83130;83578;83613;82778;45.15M;-0.53
10/24/2019;83570;82225;83659;82222;55.00M;1.6
10/23/2019;82250;82761;83133;81822;69.04M;-0.65
10/22/2019;82792;82789;82998;82441;49.37M;0
10/21/2019;82789;82136;82966;82048;51.46M;0.8
10/18/2019;82135;82190;82399;81877;68.45M;-0.07
10/17/2019;82191;81523;82401;80961;63.40M;0.81
10/16/2019;81528;80731;81604;80232;45.18M;0.93
10/15/2019;80777;80084;80870;80082;27.76M;0.85
10/14/2019;80099;81276;81279;79944;46.63M;-1.45
10/11/2019;81278;80581;81432;80581;58.66M;0.87
10/10/2019;80578;79757;80619;79413;55.17M;1.03
10/09/2019;79757;79898;80186;79368;49.44M;-0.18
10/08/2019;79901;81038;81256;79725;35.53M;-1.4
10/07/2019;81033;79690;81033;79628;41.05M;1.75
10/04/2019;79637;78482;79702;78482;49.10M;1.48
10/03/2019;78475;79488;79488;78317;52.28M;-1.28
10/02/2019;79490;81409;81409;79429;50.21M;-2.36
10/01/2019;81412;81405;81908;81293;39.42M;0.01
09/30/2019;81401;81395;81615;81093;39.50M;0.01
09/27/2019;81395;81009;81770;81005;37.50M;0.48
09/26/2019;81003;80943;81610;80871;39.04M;0.12
09/25/2019;80909;81862;81862;80646;51.08M;-1.21
09/24/2019;81896;82686;82899;81812;55.30M;-0.96
09/23/2019;82686;83253;83357;82368;53.01M;-0.68
09/20/2019;83256;82705;83406;82690;56.28M;0.72
09/19/2019;82662;82712;82979;82287;62.75M;-0.06
09/18/2019;82712;82013;82762;81616;82.07M;0.93
09/17/2019;81951;82838;83087;81723;72.88M;-1.06
09/16/2019;82833;81666;82910;81666;72.20M;1.43
09/13/2019;81663;81171;81734;81170;45.20M;0.61
09/12/2019;81171;81501;81589;80410;51.11M;-0.4
09/11/2019;81501;80231;81501;80228;59.63M;1.63
09/10/2019;80197;79568;80197;79412;51.41M;0.79
09/09/2019;79568;79770;80255;79505;40.83M;-0.19
09/06/2019;79717;80650;80667;79492;58.74M;-1.16
09/05/2019;80651;78745;80777;78744;71.81M;2.45
09/04/2019;78721;78002;79000;78002;53.59M;0.93
09/03/2019;77992;78840;78907;77937;61.10M;-1.04
09/02/2019;78808;78879;79091;78751;56.26M;-0.11
08/30/2019;78895;78264;79067;78264;53.47M;0.8
08/29/2019;78267;77005;78408;77005;55.04M;1.64
08/28/2019;77005;77185;77424;76741;50.54M;-0.23
08/27/2019;77185;76494;77185;76427;48.26M;0.89
08/26/2019;76502;76980;76988;75969;45.46M;-0.68
08/23/2019;77025;77490;77972;76334;47.96M;-0.59
08/22/2019;77486;77449;77774;76999;48.30M;0.04
08/21/2019;77452;77048;77860;76608;45.14M;0.52
08/20/2019;77048;77176;77621;76846;48.78M;-0.18
08/19/2019;77184;76195;77218;76195;51.25M;1.31
08/16/2019;76187;75440;76228;75425;71.32M;1.02
08/15/2019;75419;75775;76288;74322;74.24M;-0.43
08/14/2019;75743;77585;77645;75568;63.84M;-2.37
08/13/2019;77583;76736;77622;76253;51.90M;1.06
08/12/2019;76771;77065;77556;76633;35.94M;-0.38
08/09/2019;77063;77566;77924;77042;35.16M;-0.65
08/08/2019;77568;76413;77680;76413;50.73M;1.58
08/07/2019;76364;77121;77522;76052;42.51M;-0.97
08/06/2019;77109;76733;77665;76616;44.08M;0.39
08/05/2019;76811;78570;78570;76578;52.56M;-2.24
08/02/2019;78575;79515;79515;78149;51.59M;-1.22
08/01/2019;79547;79179;79714;78706;45.14M;0.45
07/31/2019;79190;78702;79366;78702;47.79M;0.86
07/30/2019;78512;79728;79845;78486;49.21M;-1.53
07/29/2019;79728;80034;80168;79646;43.52M;-0.38
07/26/2019;80034;79668;80337;79522;31.67M;0.46
07/25/2019;79668;80513;80949;79508;50.62M;-1.08
07/24/2019;80538;80896;81191;80306;41.27M;-0.44
07/23/2019;80896;79934;80966;79890;50.95M;1.22
07/22/2019;79919;79801;80239;79782;46.07M;0.15
07/19/2019;79798;79568;79835;79379;40.38M;0.29
07/18/2019;79567;80014;80020;79313;45.64M;-0.58
07/17/2019;80034;80682;80682;79970;35.57M;-0.8
