"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","316.02","316.02","316.02","316.02","","-0.83%"
"12/29/2022","318.65","318.65","318.65","318.65","","0.33%"
"12/28/2022","317.61","317.61","317.61","317.61","","-0.66%"
"12/27/2022","319.72","319.72","319.72","319.72","","0.21%"
"12/26/2022","319.06","319.06","319.06","319.06","","0.00%"
"12/23/2022","319.06","319.06","319.06","319.06","","0.56%"
"12/22/2022","317.27","317.27","317.27","317.27","","0.48%"
"12/21/2022","315.74","315.74","315.74","315.74","","1.98%"
"12/20/2022","309.60","309.60","309.60","309.60","","0.09%"
"12/19/2022","309.33","309.33","309.33","309.33","","0.95%"
"12/16/2022","306.41","306.41","306.41","306.41","","-0.17%"
"12/15/2022","306.93","306.93","306.93","306.93","","-2.00%"
"12/14/2022","313.19","313.19","313.19","313.19","","-0.26%"
"12/13/2022","314.02","314.02","314.02","314.02","","0.54%"
"12/12/2022","312.33","312.33","312.33","312.33","","-0.98%"
"12/09/2022","315.41","315.41","315.41","315.41","","0.04%"
"12/08/2022","315.28","315.28","315.28","315.28","","0.08%"
"12/07/2022","315.04","315.04","315.04","315.04","","-1.28%"
"12/06/2022","319.14","319.14","319.14","319.14","","-0.47%"
"12/05/2022","320.65","320.65","320.65","320.65","","0.40%"
"12/02/2022","319.37","319.37","319.37","319.37","","-0.26%"
"12/01/2022","320.19","320.19","320.19","320.19","","-0.84%"
"11/30/2022","322.91","322.91","322.91","322.91","","0.33%"
"11/29/2022","321.85","321.85","321.85","321.85","","0.57%"
"11/28/2022","320.03","320.03","320.03","320.03","","-1.60%"
"11/25/2022","325.23","325.23","325.23","325.23","","0.70%"
"11/24/2022","322.98","322.98","322.98","322.98","","0.16%"
"11/23/2022","322.46","322.46","322.46","322.46","","-0.18%"
"11/22/2022","323.05","323.05","323.05","323.05","","1.53%"
"11/21/2022","318.17","318.17","318.17","318.17","","-0.66%"
"11/18/2022","320.27","320.27","320.27","320.27","","2.24%"
"11/17/2022","313.26","313.26","313.26","313.26","","-0.50%"
"11/16/2022","314.83","314.83","314.83","314.83","","-1.23%"
"11/15/2022","318.76","318.76","318.76","318.76","","0.82%"
"11/14/2022","316.16","316.16","316.16","316.16","","0.22%"
"11/11/2022","315.46","315.46","315.46","315.46","","0.45%"
"11/10/2022","314.04","314.04","314.04","314.04","","0.64%"
"11/09/2022","312.05","312.05","312.05","312.05","","-0.39%"
"11/08/2022","313.27","313.27","313.27","313.27","","0.24%"
"11/07/2022","312.53","312.53","312.53","312.53","","1.63%"
"11/04/2022","307.51","307.51","307.51","307.51","","6.14%"
"11/03/2022","289.73","289.73","289.73","289.73","","-0.96%"
"11/02/2022","292.53","292.53","292.53","292.53","","1.00%"
"11/01/2022","289.63","289.63","289.63","289.63","","0.37%"
"10/31/2022","288.55","288.55","288.55","288.55","","-0.18%"
"10/28/2022","289.08","289.08","289.08","289.08","","1.93%"
"10/27/2022","283.61","283.61","283.61","283.61","","0.89%"
"10/26/2022","281.12","281.12","281.12","281.12","","0.00%"
"10/25/2022","281.12","281.12","281.12","281.12","","1.48%"
"10/24/2022","277.03","277.03","277.03","277.03","","1.55%"
"10/21/2022","272.80","272.80","272.80","272.80","","-0.44%"
"10/20/2022","274.00","274.00","274.00","274.00","","0.25%"
"10/19/2022","273.33","273.33","273.33","273.33","","-0.07%"
"10/18/2022","273.51","273.51","273.51","273.51","","0.09%"
"10/17/2022","273.26","273.26","273.26","273.26","","1.13%"
"10/14/2022","270.21","270.21","270.21","270.21","","-0.06%"
"10/13/2022","270.36","270.36","270.36","270.36","","2.57%"
"10/12/2022","263.59","263.59","263.59","263.59","","-1.37%"
"10/11/2022","267.25","267.25","267.25","267.25","","-1.21%"
