"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","3,701.17","3,731.59","3,734.93","3,701.17","3.61M","-1.19%"
"12/29/2022","3,745.68","3,699.79","3,746.44","3,690.13","3.61M","1.00%"
"12/28/2022","3,708.49","3,723.16","3,727.31","3,705.04","3.66M","-0.25%"
"12/27/2022","3,717.67","3,747.33","3,748.54","3,715.86","2.77M","-0.22%"
"12/23/2022","3,725.83","3,729.90","3,751.67","3,716.19","3.12M","0.07%"
"12/22/2022","3,723.15","3,746.23","3,759.59","3,713.32","4.50M","-0.48%"
"12/21/2022","3,741.20","3,684.94","3,742.72","3,677.25","6.75M","1.90%"
"12/20/2022","3,671.37","3,645.93","3,678.65","3,631.46","5.40M","0.00%"
"12/19/2022","3,671.30","3,660.87","3,692.61","3,659.91","5.42M","0.36%"
"12/16/2022","3,658.15","3,704.63","3,709.03","3,639.46","18.09M","-1.51%"
"12/15/2022","3,714.06","3,731.97","3,747.81","3,702.30","9.29M","-1.11%"
"12/14/2022","3,755.58","3,730.97","3,757.11","3,719.87","8.34M","0.15%"
"12/13/2022","3,749.83","3,703.28","3,776.23","3,688.72","7.92M","1.45%"
"12/12/2022","3,696.17","3,709.94","3,725.18","3,687.16","6.21M","-0.68%"
"12/09/2022","3,721.33","3,704.29","3,722.70","3,685.74","6.09M","0.78%"
"12/08/2022","3,692.60","3,702.59","3,710.52","3,670.21","5.77M","-0.38%"
"12/07/2022","3,706.62","3,705.39","3,723.00","3,699.85","7.68M","-0.66%"
"12/06/2022","3,731.20","3,729.71","3,759.35","3,714.88","7.18M","-0.07%"
"12/05/2022","3,733.99","3,747.03","3,765.68","3,732.25","7.77M","-0.54%"
"12/02/2022","3,754.22","3,686.33","3,754.22","3,683.84","7.82M","1.53%"
"12/01/2022","3,697.81","3,705.53","3,715.78","3,676.63","8.09M","0.35%"
"11/30/2022","3,684.98","3,685.29","3,699.20","3,667.25","30.37M","0.71%"
"11/29/2022","3,659.13","3,681.13","3,684.86","3,656.93","7.56M","-0.62%"
"11/28/2022","3,682.06","3,697.44","3,714.63","3,682.06","6.80M","-0.70%"
"11/25/2022","3,707.95","3,703.46","3,712.81","3,692.52","4.15M","0.17%"
"11/24/2022","3,701.57","3,662.44","3,701.57","3,659.93","5.18M","1.27%"
"11/23/2022","3,655.32","3,666.55","3,667.56","3,638.13","5.42M","0.11%"
"11/22/2022","3,651.22","3,645.89","3,662.95","3,628.31","5.03M","0.20%"
"11/21/2022","3,643.88","3,639.83","3,653.55","3,620.66","5.35M","-0.22%"
"11/18/2022","3,651.97","3,613.22","3,651.97","3,601.55","5.99M","1.45%"
"11/17/2022","3,599.84","3,621.70","3,631.94","3,571.60","4.94M","-0.37%"
"11/16/2022","3,613.08","3,656.57","3,659.02","3,612.71","6.40M","-1.47%"
"11/15/2022","3,667.12","3,673.74","3,685.47","3,650.01","6.68M","-0.13%"
"11/14/2022","3,671.77","3,671.21","3,689.22","3,651.98","5.70M","0.24%"
"11/11/2022","3,662.94","3,680.43","3,686.92","3,648.15","7.82M","-0.24%"
"11/10/2022","3,671.80","3,585.43","3,684.06","3,581.09","9.76M","1.79%"
"11/09/2022","3,607.11","3,607.29","3,614.41","3,569.85","5.69M","-0.65%"
"11/08/2022","3,630.72","3,606.81","3,636.42","3,598.77","5.37M","0.40%"
"11/07/2022","3,616.18","3,586.17","3,627.88","3,578.25","6.36M","0.38%"
"11/04/2022","3,602.53","3,553.96","3,624.41","3,552.29","7.67M","1.98%"
"11/03/2022","3,532.49","3,520.62","3,534.46","3,495.64","5.04M","-0.59%"
"11/02/2022","3,553.44","3,585.52","3,585.60","3,544.72","6.95M","-1.01%"
"11/01/2022","3,589.65","3,589.12","3,625.50","3,579.91","6.60M","0.62%"
"10/31/2022","3,567.43","3,561.33","3,572.39","3,544.39","6.02M","0.39%"
"10/28/2022","3,553.63","3,512.39","3,553.63","3,509.28","7.06M","0.75%"
"10/27/2022","3,527.26","3,541.79","3,577.97","3,516.21","7.94M","-0.18%"
"10/26/2022","3,533.56","3,524.90","3,533.56","3,497.34","7.77M","-0.19%"
"10/25/2022","3,540.32","3,516.61","3,540.32","3,482.38","5.91M","1.29%"
"10/24/2022","3,495.19","3,482.69","3,505.39","3,457.52","5.79M","1.35%"
"10/21/2022","3,448.63","3,427.22","3,457.13","3,402.10","5.76M","0.22%"
"10/20/2022","3,440.93","3,420.46","3,447.30","3,397.56","6.07M","-0.03%"
"10/19/2022","3,441.83","3,501.41","3,503.29","3,441.83","5.16M","-1.21%"
"10/18/2022","3,484.01","3,478.86","3,513.37","3,476.26","5.49M","0.87%"
"10/17/2022","3,454.10","3,390.30","3,457.32","3,378.00","5.42M","1.98%"
"10/14/2022","3,387.10","3,396.61","3,430.56","3,378.14","7.07M","1.20%"
"10/13/2022","3,346.80","3,301.31","3,353.58","3,269.91","6.56M","1.00%"
"10/12/2022","3,313.82","3,336.95","3,336.95","3,304.70","6.56M","-0.94%"
"10/11/2022","3,345.31","3,348.42","3,355.95","3,309.53","5.53M","-0.54%"
"10/10/2022","3,363.53","3,343.87","3,388.74","3,339.78","5.01M","-0.08%"
"10/07/2022","3,366.12","3,421.48","3,430.33","3,364.42","6.12M","-2.00%"
"10/06/2022","3,434.81","3,467.57","3,477.30","3,419.53","5.46M","-0.34%"
"10/05/2022","3,446.50","3,466.67","3,485.55","3,433.08","5.69M","-0.93%"
"10/04/2022","3,478.72","3,419.56","3,478.72","3,417.92","6.67M","3.08%"
"10/03/2022","3,374.94","3,329.82","3,377.24","3,288.16","7.08M","0.14%"
"09/30/2022","3,370.21","3,337.17","3,372.58","3,337.17","8.34M","1.36%"
"09/29/2022","3,324.99","3,358.69","3,358.69","3,302.74","8.20M","-1.85%"
"09/28/2022","3,387.62","3,354.53","3,388.90","3,310.68","7.45M","-0.10%"
"09/27/2022","3,390.90","3,410.55","3,441.10","3,387.03","6.04M","0.05%"
"09/26/2022","3,389.04","3,383.46","3,419.92","3,373.93","6.45M","-0.93%"
"09/23/2022","3,420.99","3,487.49","3,495.33","3,401.13","6.66M","-2.23%"
"09/22/2022","3,499.15","3,499.95","3,536.17","3,493.18","4.88M","-1.67%"
"09/21/2022","3,558.42","3,535.99","3,566.93","3,533.94","5.08M","0.24%"
"09/20/2022","3,549.95","3,601.10","3,618.99","3,545.90","5.71M","-0.91%"
"09/19/2022","3,582.72","3,579.74","3,598.48","3,557.04","4.08M","-0.27%"
"09/16/2022","3,592.32","3,575.57","3,596.24","3,572.55","14.18M","-0.34%"
"09/15/2022","3,604.44","3,603.08","3,622.16","3,594.63","5.54M","-0.05%"
"09/14/2022","3,606.40","3,624.08","3,644.40","3,594.79","8.66M","-0.91%"
"09/13/2022","3,639.58","3,724.22","3,739.75","3,637.71","6.95M","-2.23%"
"09/12/2022","3,722.45","3,672.51","3,722.45","3,672.51","5.76M","1.61%"
