"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2022","1,979.88","1,979.88","1,979.88","1,979.88","","0.38%"
"12/27/2022","1,972.31","1,972.31","1,972.31","1,972.31","","0.39%"
"12/23/2022","1,964.73","1,964.73","1,964.73","1,964.73","","0.16%"
"12/22/2022","1,961.60","1,961.60","1,961.60","1,961.60","","0.03%"
"12/21/2022","1,961.01","1,961.01","1,961.01","1,961.01","","0.83%"
"12/20/2022","1,944.87","1,944.87","1,944.87","1,944.87","","0.41%"
"12/19/2022","1,936.86","1,936.86","1,936.86","1,936.86","","0.06%"
"12/16/2022","1,935.74","1,935.74","1,935.74","1,935.74","","0.04%"
"12/15/2022","1,934.98","1,934.98","1,934.98","1,934.98","","-0.08%"
"12/14/2022","1,936.54","1,936.54","1,936.54","1,936.54","","0.18%"
"12/13/2022","1,932.98","1,932.98","1,932.98","1,932.98","","-0.10%"
"12/12/2022","1,934.92","1,934.92","1,934.92","1,934.92","","0.14%"
"12/09/2022","1,932.26","1,932.26","1,932.26","1,932.26","","0.40%"
"12/08/2022","1,924.57","1,924.57","1,924.57","1,924.57","","0.29%"
"12/07/2022","1,919.02","1,919.02","1,919.02","1,919.02","","0.21%"
"12/06/2022","1,915.06","1,915.06","1,915.06","1,915.06","","0.18%"
"12/05/2022","1,911.56","1,911.56","1,911.56","1,911.56","","-0.41%"
"12/02/2022","1,919.44","1,919.44","1,919.44","1,919.44","","0.50%"
"12/01/2022","1,909.80","1,909.80","1,909.80","1,909.80","","0.59%"
"11/30/2022","1,898.60","1,898.60","1,898.60","1,898.60","","-0.21%"
"11/29/2022","1,902.68","1,902.68","1,902.68","1,902.68","","-0.25%"
"11/28/2022","1,907.53","1,907.53","1,907.53","1,907.53","","-0.36%"
"11/25/2022","1,914.43","1,914.43","1,914.43","1,914.43","","0.58%"
"11/24/2022","1,903.42","1,903.42","1,903.42","1,903.42","","-0.09%"
"11/23/2022","1,905.17","1,905.17","1,905.17","1,905.17","","0.21%"
"11/22/2022","1,901.14","1,901.14","1,901.14","1,901.14","","0.14%"
"11/21/2022","1,898.46","1,898.46","1,898.46","1,898.46","","-0.23%"
"11/17/2022","1,902.93","1,902.93","1,902.93","1,902.93","","-0.37%"
"11/16/2022","1,910.05","1,910.05","1,910.05","1,910.05","","0.16%"
"11/15/2022","1,907.00","1,907.00","1,907.00","1,907.00","","-0.05%"
"11/14/2022","1,907.96","1,907.96","1,907.96","1,907.96","","-0.32%"
"11/11/2022","1,914.15","1,914.15","1,914.15","1,914.15","","-0.21%"
"11/10/2022","1,918.13","1,918.13","1,918.13","1,918.13","","0.57%"
"11/09/2022","1,907.24","1,907.24","1,907.24","1,907.24","","-0.36%"
"11/08/2022","1,914.04","1,914.04","1,914.04","1,914.04","","0.72%"
"11/07/2022","1,900.30","1,900.30","1,900.30","1,900.30","","-0.36%"
"11/04/2022","1,907.14","1,907.14","1,907.14","1,907.14","","0.59%"
"11/03/2022","1,895.96","1,895.96","1,895.96","1,895.96","","-0.96%"
"11/02/2022","1,914.37","1,914.37","1,914.37","1,914.37","","-0.75%"
"10/31/2022","1,928.91","1,928.91","1,928.91","1,928.91","","0.25%"
"10/28/2022","1,924.11","1,924.11","1,924.11","1,924.11","","-0.85%"
"10/27/2022","1,940.68","1,940.68","1,940.68","1,940.68","","1.19%"
"10/26/2022","1,917.89","1,917.89","1,917.89","1,917.89","","0.26%"
"10/25/2022","1,912.95","1,912.95","1,912.95","1,912.95","","0.32%"
"10/24/2022","1,906.94","1,906.94","1,906.94","1,906.94","","-0.44%"
"10/21/2022","1,915.46","1,915.46","1,915.46","1,915.46","","-0.56%"
"10/20/2022","1,926.21","1,926.21","1,926.21","1,926.21","","-0.53%"
"10/19/2022","1,936.50","1,936.50","1,936.50","1,936.50","","-0.16%"
"10/18/2022","1,939.52","1,939.52","1,939.52","1,939.52","","0.91%"
"10/17/2022","1,921.96","1,921.96","1,921.96","1,921.96","","-0.27%"
"10/14/2022","1,927.13","1,927.13","1,927.13","1,927.13","","0.88%"
"10/13/2022","1,910.28","1,910.28","1,910.28","1,910.28","","-0.47%"
"10/12/2022","1,919.37","1,919.37","1,919.37","1,919.37","","0.03%"
"10/11/2022","1,918.84","1,918.84","1,918.84","1,918.84","","-0.23%"
"10/10/2022","1,923.19","1,923.19","1,923.19","1,923.19","","-0.73%"
"10/07/2022","1,937.33","1,937.33","1,937.33","1,937.33","","0.41%"
"10/06/2022","1,929.40","1,929.40","1,929.40","1,929.40","","0.42%"
"10/05/2022","1,921.27","1,921.27","1,921.27","1,921.27","","0.51%"
"10/04/2022","1,911.48","1,911.48","1,911.48","1,911.48","","0.85%"
"10/03/2022","1,895.28","1,895.28","1,895.28","1,895.28","","-0.58%"
"09/30/2022","1,906.28","1,906.28","1,906.28","1,906.28","","0.31%"
"09/29/2022","1,900.46","1,900.46","1,900.46","1,900.46","","-0.80%"
"09/28/2022","1,915.82","1,915.82","1,915.82","1,915.82","","-1.02%"
"09/27/2022","1,935.63","1,935.63","1,935.63","1,935.63","","-0.65%"
"09/26/2022","1,948.33","1,948.33","1,948.33","1,948.33","","-1.07%"
