"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,344.11","1,344.11","1,344.11","1,344.11","","-0.39%"
"12/29/2022","1,349.33","1,349.33","1,349.33","1,349.33","","0.13%"
"12/28/2022","1,347.53","1,347.53","1,347.53","1,347.53","","0.26%"
"12/27/2022","1,344.04","1,344.04","1,344.04","1,344.04","","0.82%"
"12/26/2022","1,333.14","1,333.14","1,333.14","1,333.14","","0.00%"
"12/23/2022","1,333.14","1,333.14","1,333.14","1,333.14","","0.57%"
"12/22/2022","1,325.65","1,325.65","1,325.65","1,325.65","","0.43%"
"12/21/2022","1,319.95","1,319.95","1,319.95","1,319.95","","0.14%"
"12/20/2022","1,318.12","1,318.12","1,318.12","1,318.12","","-0.26%"
"12/19/2022","1,321.55","1,321.55","1,321.55","1,321.55","","0.64%"
"12/16/2022","1,313.18","1,313.18","1,313.18","1,313.18","","-1.69%"
"12/15/2022","1,335.72","1,335.72","1,335.72","1,335.72","","-0.85%"
"12/14/2022","1,347.17","1,347.17","1,347.17","1,347.17","","0.06%"
"12/13/2022","1,346.39","1,346.39","1,346.39","1,346.39","","2.14%"
"12/12/2022","1,318.20","1,318.20","1,318.20","1,318.20","","0.50%"
"12/09/2022","1,311.69","1,311.69","1,311.69","1,311.69","","1.04%"
"12/08/2022","1,298.21","1,298.21","1,298.21","1,298.21","","-1.10%"
"12/07/2022","1,312.70","1,312.70","1,312.70","1,312.70","","-0.39%"
"12/06/2022","1,317.87","1,317.87","1,317.87","1,317.87","","-2.27%"
"12/05/2022","1,348.46","1,348.46","1,348.46","1,348.46","","-0.15%"
"12/02/2022","1,350.47","1,350.47","1,350.47","1,350.47","","-1.85%"
"12/01/2022","1,375.99","1,375.99","1,375.99","1,375.99","","-0.88%"
"11/30/2022","1,388.25","1,388.25","1,388.25","1,388.25","","0.00%"
"11/29/2022","1,388.19","1,388.19","1,388.19","1,388.19","","-2.29%"
"11/28/2022","1,420.67","1,420.67","1,420.67","1,420.67","","0.03%"
"11/25/2022","1,420.21","1,420.21","1,420.21","1,420.21","","-0.40%"
"11/24/2022","1,425.87","1,425.87","1,425.87","1,425.87","","1.28%"
"11/23/2022","1,407.83","1,407.83","1,407.83","1,407.83","","-0.70%"
"11/22/2022","1,417.70","1,417.70","1,417.70","1,417.70","","-1.02%"
"11/21/2022","1,432.25","1,432.25","1,432.25","1,432.25","","0.18%"
"11/18/2022","1,429.73","1,429.73","1,429.73","1,429.73","","-0.05%"
"11/17/2022","1,430.48","1,430.48","1,430.48","1,430.48","","0.00%"
"11/16/2022","1,430.48","1,430.48","1,430.48","1,430.48","","-0.77%"
"11/15/2022","1,441.56","1,441.56","1,441.56","1,441.56","","-1.45%"
"11/14/2022","1,462.79","1,462.79","1,462.79","1,462.79","","-0.64%"
"11/11/2022","1,472.28","1,472.28","1,472.28","1,472.28","","1.52%"
"11/10/2022","1,450.22","1,450.22","1,450.22","1,450.22","","-0.34%"
"11/09/2022","1,455.23","1,455.23","1,455.23","1,455.23","","2.45%"
"11/08/2022","1,420.40","1,420.40","1,420.40","1,420.40","","0.48%"
"11/07/2022","1,413.62","1,413.62","1,413.62","1,413.62","","-0.10%"
"11/04/2022","1,415.08","1,415.08","1,415.08","1,415.08","","0.72%"
"11/03/2022","1,404.91","1,404.91","1,404.91","1,404.91","","-0.37%"
"11/02/2022","1,410.10","1,410.10","1,410.10","1,410.10","","0.29%"
"11/01/2022","1,406.03","1,406.03","1,406.03","1,406.03","","0.19%"
"10/31/2022","1,403.32","1,403.32","1,403.32","1,403.32","","-0.21%"
"10/28/2022","1,406.32","1,406.32","1,406.32","1,406.32","","0.00%"
"10/27/2022","1,406.32","1,406.32","1,406.32","1,406.32","","0.43%"
"10/26/2022","1,400.31","1,400.31","1,400.31","1,400.31","","2.63%"
"10/25/2022","1,364.41","1,364.41","1,364.41","1,364.41","","-0.60%"
"10/24/2022","1,372.71","1,372.71","1,372.71","1,372.71","","-1.44%"
"10/21/2022","1,392.72","1,392.72","1,392.72","1,392.72","","1.51%"
"10/20/2022","1,371.99","1,371.99","1,371.99","1,371.99","","4.36%"
"10/19/2022","1,314.63","1,314.63","1,314.63","1,314.63","","-3.54%"
"10/18/2022","1,362.85","1,362.85","1,362.85","1,362.85","","2.49%"
"10/17/2022","1,329.68","1,329.68","1,329.68","1,329.68","","-0.63%"
"10/14/2022","1,338.16","1,338.16","1,338.16","1,338.16","","0.30%"
"10/13/2022","1,334.19","1,334.19","1,334.19","1,334.19","","-2.27%"
"10/12/2022","1,365.15","1,365.15","1,365.15","1,365.15","","-0.41%"
"10/11/2022","1,370.75","1,370.75","1,370.75","1,370.75","","-3.10%"
"10/10/2022","1,414.54","1,414.54","1,414.54","1,414.54","","-2.90%"
"10/07/2022","1,456.79","1,456.79","1,456.79","1,456.79","","-3.77%"
"10/06/2022","1,513.89","1,513.89","1,513.89","1,513.89","","3.11%"
"10/05/2022","1,468.18","1,468.18","1,468.18","1,468.18","","-1.20%"
"10/04/2022","1,486.01","1,486.01","1,486.01","1,486.01","","5.84%"
"10/03/2022","1,404.07","1,404.07","1,404.07","1,404.07","","-0.47%"
"09/30/2022","1,410.74","1,410.74","1,410.74","1,410.74","","-0.02%"
"09/29/2022","1,410.96","1,410.96","1,410.96","1,410.96","","-3.27%"
"09/28/2022","1,458.59","1,458.59","1,458.59","1,458.59","","0.00%"
"09/27/2022","1,458.59","1,458.59","1,458.59","1,458.59","","-0.04%"
"09/26/2022","1,459.12","1,459.12","1,459.12","1,459.12","","-1.87%"
"09/23/2022","1,486.90","1,486.90","1,486.90","1,486.90","","-1.77%"
"09/22/2022","1,513.70","1,513.70","1,513.70","1,513.70","","2.01%"
"09/21/2022","1,483.94","1,483.94","1,483.94","1,483.94","","-1.63%"
"09/20/2022","1,508.52","1,508.52","1,508.52","1,508.52","","-1.20%"
"09/19/2022","1,526.91","1,526.91","1,526.91","1,526.91","","-0.99%"
"09/16/2022","1,542.24","1,542.24","1,542.24","1,542.24","","-2.11%"
"09/15/2022","1,575.46","1,575.46","1,575.46","1,575.46","","0.14%"
"09/14/2022","1,573.29","1,573.29","1,573.29","1,573.29","","0.51%"
"09/13/2022","1,565.25","1,565.25","1,565.25","1,565.25","","2.71%"
"09/12/2022","1,523.93","1,523.93","1,523.93","1,523.93","","1.36%"
"09/09/2022","1,503.51","1,503.51","1,503.51","1,503.51","","-0.23%"
"09/08/2022","1,507.02","1,507.02","1,507.02","1,507.02","","0.68%"
"09/07/2022","1,496.85","1,496.85","1,496.85","1,496.85","","4.16%"
"09/06/2022","1,437.07","1,437.07","1,437.07","1,437.07","","0.09%"
"09/05/2022","1,435.78","1,435.78","1,435.78","1,435.78","","-2.96%"
"09/02/2022","1,479.63","1,479.63","1,479.63","1,479.63","","-1.92%"
"09/01/2022","1,508.62","1,508.62","1,508.62","1,508.62","","-1.27%"
"08/31/2022","1,528.06","1,528.06","1,528.06","1,528.06","","-1.06%"
"08/30/2022","1,544.37","1,544.37","1,544.37","1,544.37","","0.62%"
"08/29/2022","1,534.91","1,534.91","1,534.91","1,534.91","","-2.34%"
"08/26/2022","1,571.61","1,571.61","1,571.61","1,571.61","","0.52%"
"08/25/2022","1,563.53","1,563.53","1,563.53","1,563.53","","-0.20%"
"08/24/2022","1,566.74","1,566.74","1,566.74","1,566.74","","-1.91%"
"08/23/2022","1,597.32","1,597.32","1,597.32","1,597.32","","1.24%"
"08/22/2022","1,577.83","1,577.83","1,577.83","1,577.83","","-2.35%"
"08/19/2022","1,615.87","1,615.87","1,615.87","1,615.87","","-1.22%"
"08/18/2022","1,635.79","1,635.79","1,635.79","1,635.79","","-1.34%"
"08/17/2022","1,658.07","1,658.07","1,658.07","1,658.07","","-1.53%"
"08/16/2022","1,683.79","1,683.79","1,683.79","1,683.79","","0.93%"
"08/15/2022","1,668.23","1,668.23","1,668.23","1,668.23","","-1.08%"
"08/12/2022","1,686.50","1,686.50","1,686.50","1,686.50","","1.04%"
"08/11/2022","1,669.12","1,669.12","1,669.12","1,669.12","","-0.90%"
"08/10/2022","1,684.27","1,684.27","1,684.27","1,684.27","","1.59%"
"08/09/2022","1,657.92","1,657.92","1,657.92","1,657.92","","2.29%"
"08/08/2022","1,620.83","1,620.83","1,620.83","1,620.83","","0.32%"
"08/05/2022","1,615.64","1,615.64","1,615.64","1,615.64","","-0.44%"
"08/04/2022","1,622.72","1,622.72","1,622.72","1,622.72","","0.37%"
"08/03/2022","1,616.73","1,616.73","1,616.73","1,616.73","","2.30%"
"08/02/2022","1,580.34","1,580.34","1,580.34","1,580.34","","0.12%"
"08/01/2022","1,578.44","1,578.44","1,578.44","1,578.44","","-5.23%"
"07/29/2022","1,665.52","1,665.52","1,665.52","1,665.52","","-0.51%"
"07/28/2022","1,674.08","1,674.08","1,674.08","1,674.08","","-3.29%"
"07/27/2022","1,731.11","1,731.11","1,731.11","1,731.11","","2.15%"
"07/26/2022","1,694.71","1,694.71","1,694.71","1,694.71","","1.99%"
"07/25/2022","1,661.60","1,661.60","1,661.60","1,661.60","","-1.41%"
"07/22/2022","1,685.29","1,685.29","1,685.29","1,685.29","","-0.88%"
"07/21/2022","1,700.23","1,700.23","1,700.23","1,700.23","","0.32%"
"07/20/2022","1,694.76","1,694.76","1,694.76","1,694.76","","-1.47%"
"07/19/2022","1,719.96","1,719.96","1,719.96","1,719.96","","1.08%"
"07/18/2022","1,701.51","1,701.51","1,701.51","1,701.51","","3.51%"
"07/15/2022","1,643.78","1,643.78","1,643.78","1,643.78","","1.81%"
"07/14/2022","1,614.58","1,614.58","1,614.58","1,614.58","","-0.07%"
"07/13/2022","1,615.67","1,615.67","1,615.67","1,615.67","","-1.00%"
"07/12/2022","1,632.01","1,632.01","1,632.01","1,632.01","","0.76%"
"07/11/2022","1,619.77","1,619.77","1,619.77","1,619.77","","1.10%"
"07/08/2022","1,602.13","1,602.13","1,602.13","1,602.13","","-0.08%"
"07/07/2022","1,603.47","1,603.47","1,603.47","1,603.47","","4.85%"
"07/06/2022","1,529.24","1,529.24","1,529.24","1,529.24","","0.00%"
"07/05/2022","1,529.24","1,529.24","1,529.24","1,529.24","","0.00%"
"07/04/2022","1,529.24","1,529.24","1,529.24","1,529.24","","-1.93%"
"07/01/2022","1,559.32","1,559.32","1,559.32","1,559.32","","-6.82%"
"06/30/2022","1,673.51","1,673.51","1,673.51","1,673.51","","-3.16%"
"06/29/2022","1,728.09","1,728.09","1,728.09","1,728.09","","0.39%"
"06/28/2022","1,721.34","1,721.34","1,721.34","1,721.34","","3.87%"
"06/27/2022","1,657.16","1,657.16","1,657.16","1,657.16","","-7.38%"
"06/24/2022","1,789.16","1,789.16","1,789.16","1,789.16","","1.10%"
"06/23/2022","1,769.65","1,769.65","1,769.65","1,769.65","","-1.75%"
"06/22/2022","1,801.16","1,801.16","1,801.16","1,801.16","","-0.43%"
"06/21/2022","1,808.87","1,808.87","1,808.87","1,808.87","","-0.66%"
"06/20/2022","1,820.85","1,820.85","1,820.85","1,820.85","","2.32%"
"06/17/2022","1,779.60","1,779.60","1,779.60","1,779.60","","-0.84%"
"06/16/2022","1,794.63","1,794.63","1,794.63","1,794.63","","-0.70%"
"06/15/2022","1,807.21","1,807.21","1,807.21","1,807.21","","0.61%"
"06/14/2022","1,796.17","1,796.17","1,796.17","1,796.17","","0.19%"
"06/13/2022","1,792.81","1,792.81","1,792.81","1,792.81","","-1.12%"
"06/10/2022","1,813.14","1,813.14","1,813.14","1,813.14","","-2.06%"
"06/09/2022","1,851.26","1,851.26","1,851.26","1,851.26","","1.03%"
"06/08/2022","1,832.47","1,832.47","1,832.47","1,832.47","","1.57%"
"06/07/2022","1,804.15","1,804.15","1,804.15","1,804.15","","1.18%"
"06/06/2022","1,783.19","1,783.19","1,783.19","1,783.19","","0.45%"
"06/03/2022","1,775.23","1,775.23","1,775.23","1,775.23","","-0.87%"
"06/02/2022","1,790.82","1,790.82","1,790.82","1,790.82","","1.49%"
"06/01/2022","1,764.48","1,764.48","1,764.48","1,764.48","","1.28%"
"05/31/2022","1,742.24","1,742.24","1,742.24","1,742.24","","0.62%"
"05/30/2022","1,731.42","1,731.42","1,731.42","1,731.42","","1.02%"
"05/27/2022","1,713.92","1,713.92","1,713.92","1,713.92","","-0.18%"
"05/26/2022","1,717.05","1,717.05","1,717.05","1,717.05","","-0.03%"
"05/25/2022","1,717.51","1,717.51","1,717.51","1,717.51","","0.52%"
"05/24/2022","1,708.57","1,708.57","1,708.57","1,708.57","","-2.69%"
"05/23/2022","1,755.88","1,755.88","1,755.88","1,755.88","","-2.93%"
"05/20/2022","1,808.87","1,808.87","1,808.87","1,808.87","","1.80%"
"05/19/2022","1,776.89","1,776.89","1,776.89","1,776.89","","1.12%"
"05/18/2022","1,757.18","1,757.18","1,757.18","1,757.18","","5.34%"
"05/17/2022","1,668.05","1,668.05","1,668.05","1,668.05","","0.08%"
"05/16/2022","1,666.72","1,666.72","1,666.72","1,666.72","","0.08%"
"05/13/2022","1,665.31","1,665.31","1,665.31","1,665.31","","1.76%"
