"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","2,251.51","2,224.86","2,251.64","2,224.28","","1.03%"
"12/29/2022","2,228.57","2,234.76","2,234.76","2,223.12","","-0.39%"
"12/28/2022","2,237.22","2,232.44","2,239.39","2,226.85","","0.19%"
"12/27/2022","2,232.89","2,232.10","2,239.65","2,230.96","","0.13%"
"12/23/2022","2,229.99","2,238.14","2,242.03","2,229.99","","-0.41%"
"12/22/2022","2,239.11","2,240.16","2,249.49","2,228.79","","0.00%"
"12/21/2022","2,239.19","2,225.07","2,242.66","2,225.07","","0.85%"
"12/20/2022","2,220.36","2,215.93","2,227.08","2,208.08","","-0.26%"
"12/19/2022","2,226.07","2,204.37","2,226.07","2,204.37","","0.71%"
"12/16/2022","2,210.36","2,215.55","2,215.55","2,187.24","","-0.72%"
"12/15/2022","2,226.42","2,240.20","2,248.78","2,219.46","","-0.73%"
"12/14/2022","2,242.86","2,234.35","2,246.08","2,226.06","","0.57%"
"12/13/2022","2,230.25","2,215.99","2,233.92","2,212.08","","0.86%"
"12/12/2022","2,211.16","2,222.12","2,222.12","2,208.34","","-0.39%"
"12/09/2022","2,219.91","2,220.31","2,227.00","2,210.90","","0.06%"
"12/08/2022","2,218.59","2,207.02","2,226.98","2,207.02","","0.58%"
"12/07/2022","2,205.86","2,188.91","2,214.91","2,186.86","","0.67%"
"12/06/2022","2,191.15","2,195.15","2,204.76","2,183.35","","0.00%"
"12/05/2022","2,191.06","2,205.20","2,205.20","2,168.34","","-0.41%"
"12/02/2022","2,200.04","2,248.27","2,250.53","2,199.99","","-2.24%"
"12/01/2022","2,250.37","2,233.70","2,258.75","2,223.51","","1.25%"
"11/30/2022","2,222.59","2,217.55","2,237.56","2,211.82","","0.17%"
"11/29/2022","2,218.74","2,215.82","2,223.30","2,211.59","","0.61%"
"11/28/2022","2,205.38","2,225.77","2,231.35","2,205.29","","-1.26%"
"11/25/2022","2,233.43","2,241.18","2,243.72","2,223.70","","-0.38%"
"11/24/2022","2,241.93","2,209.24","2,241.96","2,209.24","","1.77%"
"11/23/2022","2,202.85","2,189.56","2,212.03","2,189.56","","0.69%"
"11/22/2022","2,187.67","2,170.06","2,191.67","2,163.96","","0.84%"
"11/21/2022","2,169.45","2,155.95","2,169.45","2,145.33","","0.49%"
"11/18/2022","2,158.96","2,145.65","2,164.83","2,142.00","","0.81%"
"11/17/2022","2,141.64","2,154.14","2,163.14","2,132.74","","-0.40%"
"11/16/2022","2,150.32","2,188.83","2,188.83","2,140.01","","-2.00%"
