"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","366.14","366.14","366.14","366.14","","-0.80%"
"12/29/2022","369.08","369.08","369.08","369.08","","-0.13%"
"12/28/2022","369.57","369.57","369.57","369.57","","1.14%"
"12/27/2022","365.40","365.40","365.40","365.40","","0.00%"
"12/26/2022","365.40","365.40","365.40","365.40","","0.00%"
"12/23/2022","365.40","365.40","365.40","365.40","","-0.23%"
"12/22/2022","366.24","366.24","366.24","366.24","","-0.19%"
"12/21/2022","366.95","366.95","366.95","366.95","","1.27%"
"12/20/2022","362.34","362.34","362.34","362.34","","0.61%"
"12/19/2022","360.15","360.15","360.15","360.15","","0.10%"
"12/16/2022","359.80","359.80","359.80","359.80","","1.93%"
"12/15/2022","352.99","352.99","352.99","352.99","","-1.84%"
"12/14/2022","359.59","359.59","359.59","359.59","","0.25%"
"12/13/2022","358.71","358.71","358.71","358.71","","1.13%"
"12/12/2022","354.70","354.70","354.70","354.70","","-0.91%"
"12/09/2022","357.97","357.97","357.97","357.97","","-0.09%"
"12/08/2022","358.28","358.28","358.28","358.28","","-0.52%"
"12/07/2022","360.15","360.15","360.15","360.15","","0.44%"
"12/06/2022","358.57","358.57","358.57","358.57","","-1.11%"
"12/05/2022","362.60","362.60","362.60","362.60","","-0.10%"
"12/02/2022","362.95","362.95","362.95","362.95","","-0.12%"
"12/01/2022","363.38","363.38","363.38","363.38","","0.05%"
"11/30/2022","363.20","363.20","363.20","363.20","","0.56%"
"11/29/2022","361.19","361.19","361.19","361.19","","-0.30%"
"11/28/2022","362.28","362.28","362.28","362.28","","-1.79%"
"11/25/2022","368.88","368.88","368.88","368.88","","-0.60%"
"11/24/2022","371.09","371.09","371.09","371.09","","-0.85%"
"11/23/2022","374.29","374.29","374.29","374.29","","0.11%"
"11/22/2022","373.87","373.87","373.87","373.87","","0.85%"
"11/21/2022","370.73","370.73","370.73","370.73","","0.28%"
"11/18/2022","369.68","369.68","369.68","369.68","","0.11%"
"11/17/2022","369.27","369.27","369.27","369.27","","0.05%"
"11/16/2022","369.07","369.07","369.07","369.07","","-1.39%"
"11/15/2022","374.28","374.28","374.28","374.28","","0.88%"
"11/14/2022","371.02","371.02","371.02","371.02","","-1.56%"
"11/11/2022","376.89","376.89","376.89","376.89","","1.49%"
"11/10/2022","371.37","371.37","371.37","371.37","","3.65%"
"11/09/2022","358.28","358.28","358.28","358.28","","0.37%"
"11/08/2022","356.95","356.95","356.95","356.95","","0.78%"
"11/07/2022","354.20","354.20","354.20","354.20","","1.23%"
"11/04/2022","349.91","349.91","349.91","349.91","","0.66%"
"11/03/2022","347.61","347.61","347.61","347.61","","-0.62%"
"11/02/2022","349.77","349.77","349.77","349.77","","0.06%"
"11/01/2022","349.56","349.56","349.56","349.56","","0.23%"
"10/31/2022","348.77","348.77","348.77","348.77","","-0.79%"
