"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","2,332.7","2,345.4","2,345.4","2,328.8","","-0.86%"
"12/29/2022","2,353.0","2,319.3","2,354.8","2,312.2","","1.19%"
"12/28/2022","2,325.4","2,335.4","2,339.6","2,320.0","","-0.33%"
"12/27/2022","2,333.2","2,350.1","2,355.7","2,328.3","","-0.11%"
"12/23/2022","2,335.7","2,333.2","2,342.0","2,325.7","","0.21%"
"12/22/2022","2,330.8","2,360.3","2,367.9","2,327.3","","-1.16%"
"12/21/2022","2,358.2","2,330.8","2,359.2","2,324.7","","1.65%"
"12/20/2022","2,320.0","2,293.3","2,325.4","2,285.3","","0.08%"
"12/19/2022","2,318.1","2,321.5","2,340.1","2,315.6","","0.04%"
"12/16/2022","2,317.1","2,320.5","2,331.2","2,299.9","","-0.17%"
"12/15/2022","2,321.0","2,390.4","2,395.8","2,317.8","","-3.50%"
"12/14/2022","2,405.1","2,409.0","2,415.2","2,400.2","","-0.31%"
"12/13/2022","2,412.7","2,386.8","2,439.3","2,378.9","","1.36%"
"12/12/2022","2,380.4","2,367.4","2,385.1","2,362.8","","0.19%"
"12/09/2022","2,376.0","2,377.7","2,380.9","2,342.8","","0.34%"
"12/08/2022","2,367.9","2,374.8","2,378.2","2,358.2","","-0.16%"
"12/07/2022","2,371.8","2,369.9","2,390.9","2,363.6","","-0.20%"
"12/06/2022","2,376.5","2,397.1","2,405.8","2,375.8","","-1.11%"
"12/05/2022","2,403.2","2,408.6","2,414.7","2,398.0","","-0.22%"
"12/02/2022","2,408.6","2,412.2","2,417.6","2,389.4","","-0.28%"
"12/01/2022","2,415.4","2,427.1","2,433.2","2,407.1","","0.27%"
"11/30/2022","2,409.0","2,408.1","2,416.8","2,395.3","","0.57%"
"11/29/2022","2,395.3","2,403.7","2,404.6","2,374.8","","0.08%"
"11/28/2022","2,393.4","2,405.6","2,408.6","2,389.2","","-1.09%"
"11/25/2022","2,419.8","2,421.0","2,428.1","2,413.4","","-0.04%"
"11/24/2022","2,420.8","2,410.5","2,424.2","2,407.6","","0.61%"
"11/23/2022","2,406.1","2,408.3","2,411.7","2,388.5","","-0.10%"
"11/22/2022","2,408.6","2,389.9","2,414.4","2,384.1","","0.98%"
"11/21/2022","2,385.3","2,399.5","2,405.3","2,381.2","","-0.62%"
"11/18/2022","2,400.2","2,385.6","2,404.2","2,377.5","","1.31%"
"11/17/2022","2,369.2","2,397.1","2,402.4","2,353.8","","-0.83%"
"11/16/2022","2,389.0","2,407.3","2,410.8","2,386.1","","-0.65%"
"11/15/2022","2,404.6","2,398.8","2,410.5","2,384.8","","0.41%"
"11/14/2022","2,394.8","2,390.4","2,407.6","2,386.5","","0.55%"
"11/11/2022","2,381.7","2,400.5","2,402.9","2,375.8","","0.27%"
"11/10/2022","2,375.3","2,308.3","2,381.2","2,304.8","","2.57%"
"11/09/2022","2,315.8","2,303.9","2,322.0","2,300.4","","0.38%"
"11/08/2022","2,307.1","2,283.1","2,311.2","2,275.5","","0.89%"
"11/07/2022","2,286.8","2,256.7","2,290.2","2,254.7","","0.86%"
"11/04/2022","2,267.2","2,222.4","2,278.4","2,206.1","","2.50%"
"11/03/2022","2,211.9","2,203.1","2,212.2","2,191.4","","-0.42%"
"11/02/2022","2,221.2","2,226.6","2,237.3","2,218.3","","0.06%"
"11/01/2022","2,219.8","2,225.4","2,250.1","2,212.9","","0.67%"
"10/31/2022","2,205.1","2,200.9","2,213.4","2,186.5","","0.50%"
"10/28/2022","2,194.1","2,178.4","2,197.5","2,166.4","","-0.25%"
"10/27/2022","2,199.7","2,171.3","2,204.3","2,160.1","","0.88%"
"10/26/2022","2,180.6","2,165.4","2,182.6","2,154.9","","0.52%"
"10/25/2022","2,169.4","2,151.3","2,171.3","2,127.8","","1.35%"
"10/24/2022","2,140.5","2,115.3","2,156.2","2,099.4","","1.96%"
"10/21/2022","2,099.4","2,094.1","2,106.8","2,069.1","","-0.58%"
"10/20/2022","2,111.7","2,087.4","2,118.0","2,081.8","","0.99%"
"10/19/2022","2,091.1","2,104.6","2,107.8","2,082.6","","-0.13%"
"10/18/2022","2,093.8","2,095.5","2,125.3","2,092.6","","0.91%"
"10/17/2022","2,075.0","2,041.2","2,082.3","2,029.5","","1.83%"
"10/14/2022","2,037.8","2,055.4","2,075.0","2,033.9","","0.80%"
"10/13/2022","2,021.7","1,984.0","2,026.8","1,964.5","","1.42%"
"10/12/2022","1,993.3","2,019.7","2,020.5","1,987.0","","-1.21%"
"10/11/2022","2,017.8","2,015.3","2,024.6","1,995.2","","-0.88%"
"10/10/2022","2,035.8","2,013.8","2,041.7","2,013.8","","0.09%"
"10/07/2022","2,033.9","2,052.2","2,068.6","2,030.5","","-1.16%"
"10/06/2022","2,057.8","2,088.2","2,092.3","2,047.8","","-0.99%"
"10/05/2022","2,078.4","2,099.7","2,104.6","2,061.1","","-1.45%"
"10/04/2022","2,109.0","2,066.7","2,109.2","2,063.5","","3.36%"
"10/03/2022","2,040.5","1,992.8","2,040.5","1,980.3","","1.67%"
"09/30/2022","2,007.0","1,993.0","2,013.8","1,986.5","","1.35%"
"09/29/2022","1,980.3","2,027.0","2,028.0","1,964.0","","-2.46%"
"09/28/2022","2,030.2","2,021.7","2,035.1","1,993.3","","-0.59%"
"09/27/2022","2,042.2","2,081.3","2,092.1","2,041.7","","-1.04%"
"09/26/2022","2,063.7","2,045.2","2,082.3","2,045.2","","0.62%"
"09/23/2022","2,051.0","2,114.1","2,118.0","2,047.3","","-3.30%"
"09/22/2022","2,120.9","2,113.4","2,160.1","2,109.9","","-1.09%"
"09/21/2022","2,144.2","2,108.7","2,144.9","2,104.3","","1.13%"
"09/20/2022","2,120.2","2,169.8","2,178.7","2,115.6","","-1.67%"
"09/19/2022","2,156.2","2,142.2","2,168.2","2,119.0","","0.25%"
"09/16/2022","2,150.8","2,148.3","2,161.6","2,128.8","","-1.11%"
"09/15/2022","2,175.0","2,180.9","2,194.8","2,166.2","","-0.28%"
"09/14/2022","2,181.1","2,161.3","2,188.9","2,158.8","","0.57%"
"09/13/2022","2,168.7","2,208.5","2,225.1","2,168.7","","-1.31%"
"09/12/2022","2,197.5","2,159.1","2,204.8","2,159.1","","1.72%"
"09/09/2022","2,160.3","2,129.0","2,168.9","2,129.0","","1.86%"
"09/08/2022","2,120.9","2,116.6","2,125.6","2,073.5","","0.86%"
"09/07/2022","2,102.8","2,086.9","2,108.2","2,081.3","","0.09%"
"09/06/2022","2,100.9","2,102.8","2,115.6","2,084.8","","-0.05%"
