"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","4,420.43","4,480.65","4,480.65","4,420.43","","-1.34%"
"12/29/2022","4,480.63","4,434.88","4,480.96","4,415.07","","1.03%"
"12/28/2022","4,434.90","4,451.34","4,466.50","4,429.47","","-0.38%"
"12/27/2022","4,451.98","4,476.92","4,504.95","4,442.00","","-0.48%"
"12/23/2022","4,473.65","4,467.17","4,483.08","4,440.13","","0.15%"
"12/22/2022","4,466.80","4,461.98","4,504.23","4,458.96","","0.10%"
"12/21/2022","4,462.15","4,435.12","4,467.08","4,419.99","","0.68%"
"12/20/2022","4,432.19","4,421.48","4,445.73","4,378.92","","0.03%"
"12/19/2022","4,430.71","4,406.89","4,456.59","4,405.46","","0.52%"
"12/16/2022","4,407.99","4,455.25","4,455.25","4,345.11","","-1.06%"
"12/15/2022","4,455.16","4,510.23","4,526.23","4,449.65","","-1.23%"
"12/14/2022","4,510.58","4,490.92","4,510.58","4,476.71","","0.44%"
"12/13/2022","4,491.00","4,466.28","4,564.06","4,416.12","","0.55%"
"12/12/2022","4,466.30","4,433.21","4,480.52","4,405.73","","0.75%"
"12/09/2022","4,433.02","4,424.50","4,435.15","4,381.07","","0.32%"
"12/08/2022","4,418.92","4,467.78","4,467.78","4,414.62","","-0.89%"
"12/07/2022","4,458.44","4,491.41","4,505.31","4,458.44","","-0.72%"
"12/06/2022","4,490.73","4,507.47","4,525.37","4,485.80","","-0.36%"
"12/05/2022","4,507.02","4,502.33","4,532.87","4,481.91","","-0.07%"
"12/02/2022","4,510.37","4,569.53","4,569.53","4,495.57","","-1.29%"
"12/01/2022","4,569.53","4,491.44","4,589.59","4,491.44","","1.74%"
"11/30/2022","4,491.46","4,449.10","4,496.35","4,449.10","","0.98%"
"11/29/2022","4,447.68","4,457.49","4,476.67","4,419.75","","-0.22%"
"11/28/2022","4,457.49","4,503.69","4,503.69","4,435.18","","-1.07%"
"11/25/2022","4,505.86","4,527.77","4,533.89","4,487.34","","-0.48%"
"11/24/2022","4,527.66","4,500.19","4,547.67","4,500.19","","0.61%"
"11/23/2022","4,500.19","4,472.04","4,500.19","4,432.82","","0.65%"
"11/22/2022","4,471.08","4,414.41","4,487.12","4,414.41","","1.29%"
"11/21/2022","4,414.08","4,419.85","4,451.48","4,409.86","","-0.13%"
"11/18/2022","4,419.84","4,385.46","4,433.45","4,385.46","","0.78%"
"11/17/2022","4,385.46","4,415.16","4,426.26","4,375.57","","-0.67%"
"11/16/2022","4,415.16","4,439.00","4,444.46","4,414.88","","-0.54%"
"11/15/2022","4,439.23","4,411.28","4,453.66","4,410.47","","0.64%"
"11/14/2022","4,411.13","4,391.42","4,425.44","4,391.42","","0.45%"
"11/11/2022","4,391.49","4,486.46","4,528.24","4,381.52","","-2.12%"
"11/10/2022","4,486.40","4,408.69","4,508.36","4,383.00","","1.77%"
"11/09/2022","4,408.47","4,383.92","4,428.24","4,352.05","","0.54%"
"11/08/2022","4,384.63","4,370.06","4,394.26","4,340.32","","0.33%"
"11/07/2022","4,370.05","4,354.91","4,400.82","4,347.25","","0.35%"
"11/04/2022","4,354.91","4,346.74","4,387.95","4,313.22","","0.19%"
"11/03/2022","4,346.72","4,355.76","4,355.76","4,285.99","","-0.22%"
"11/02/2022","4,356.40","4,418.75","4,428.12","4,356.40","","-1.41%"
"11/01/2022","4,418.75","4,353.97","4,442.98","4,353.97","","1.50%"
"10/31/2022","4,353.43","4,305.92","4,359.32","4,291.30","","1.10%"
"10/28/2022","4,305.92","4,347.78","4,364.07","4,288.65","","-1.15%"
"10/27/2022","4,356.03","4,361.00","4,388.65","4,259.05","","-0.48%"
"10/26/2022","4,377.23","4,304.20","4,396.42","4,276.09","","1.74%"
"10/25/2022","4,302.44","4,247.34","4,302.44","4,231.91","","1.30%"
"10/24/2022","4,247.34","4,171.04","4,272.79","4,170.07","","1.86%"
"10/21/2022","4,169.85","4,166.49","4,192.43","4,117.94","","0.08%"
"10/20/2022","4,166.55","4,141.29","4,171.08","4,109.14","","0.61%"
"10/19/2022","4,141.13","4,136.73","4,144.05","4,074.42","","0.11%"
"10/18/2022","4,136.47","4,137.48","4,161.38","4,108.25","","0.05%"
"10/17/2022","4,134.30","4,059.12","4,141.63","4,055.40","","1.82%"
"10/14/2022","4,060.32","3,993.42","4,107.50","3,993.42","","1.68%"
"10/13/2022","3,993.42","3,974.88","4,032.83","3,915.71","","0.46%"
"10/12/2022","3,975.22","4,073.67","4,076.75","3,966.15","","-2.50%"
"10/11/2022","4,077.19","4,116.32","4,116.32","4,040.51","","-1.05%"
"10/10/2022","4,120.66","4,166.63","4,166.66","4,107.53","","-1.10%"
"10/07/2022","4,166.41","4,216.02","4,231.53","4,166.03","","-1.18%"
"10/06/2022","4,216.06","4,263.82","4,283.71","4,205.92","","-1.04%"
"10/05/2022","4,260.56","4,325.83","4,325.83","4,245.02","","-1.54%"
"10/04/2022","4,327.35","4,239.85","4,327.35","4,239.85","","2.06%"
"10/03/2022","4,239.85","4,159.02","4,260.48","4,145.08","","1.94%"
"09/30/2022","4,159.09","4,156.38","4,221.65","4,137.52","","0.04%"
"09/29/2022","4,157.43","4,236.61","4,236.61","4,144.96","","-1.91%"
"09/28/2022","4,238.23","4,280.19","4,280.19","4,184.88","","-0.98%"
"09/27/2022","4,280.18","4,282.60","4,361.91","4,280.18","","-0.05%"
"09/26/2022","4,282.36","4,368.03","4,375.34","4,270.64","","-2.00%"
"09/23/2022","4,369.95","4,499.33","4,499.33","4,329.65","","-2.89%"
"09/22/2022","4,500.07","4,594.43","4,594.43","4,484.04","","-2.35%"
"09/21/2022","4,608.49","4,567.89","4,625.30","4,567.89","","0.88%"
"09/20/2022","4,568.23","4,622.76","4,675.79","4,548.36","","-1.18%"
"09/19/2022","4,622.77","4,649.14","4,662.31","4,555.37","","-0.55%"
"09/16/2022","4,648.49","4,675.72","4,696.33","4,638.86","","-0.34%"
"09/15/2022","4,664.17","4,725.45","4,739.85","4,658.83","","-1.30%"
"09/14/2022","4,725.45","4,765.96","4,768.19","4,723.34","","-0.84%"
"09/13/2022","4,765.61","4,780.46","4,830.03","4,753.31","","-0.31%"
"09/12/2022","4,780.46","4,718.00","4,793.10","4,718.00","","1.32%"
"09/09/2022","4,718.00","4,713.87","4,769.08","4,701.29","","0.10%"
"09/08/2022","4,713.50","4,682.54","4,721.09","4,651.12","","0.68%"
"09/07/2022","4,681.44","4,635.51","4,758.22","4,581.03","","0.98%"
"09/06/2022","4,636.07","4,673.33","4,686.85","4,624.37","","-0.78%"
"09/05/2022","4,672.63","4,650.90","4,684.97","4,593.64","","0.47%"
"09/02/2022","4,650.87","4,635.86","4,658.16","4,588.35","","0.32%"
"09/01/2022","4,635.86","4,658.31","4,678.25","4,586.32","","-0.48%"
"08/31/2022","4,658.14","4,691.38","4,735.28","4,640.54","","-0.70%"
"08/30/2022","4,690.90","4,783.96","4,806.80","4,684.64","","-1.94%"
"08/29/2022","4,783.50","4,889.07","4,889.34","4,771.43","","-2.17%"
"08/26/2022","4,889.67","4,932.62","4,944.74","4,875.75","","-0.85%"
"08/25/2022","4,931.68","4,927.56","4,951.73","4,917.55","","0.08%"
"08/24/2022","4,927.64","4,911.58","4,952.92","4,908.80","","0.21%"
"08/23/2022","4,917.52","4,935.22","4,935.22","4,892.15","","-0.37%"
"08/22/2022","4,935.56","4,915.20","4,935.56","4,875.25","","0.40%"
"08/19/2022","4,915.72","4,909.18","4,929.31","4,888.19","","0.13%"
"08/18/2022","4,909.18","4,928.40","4,960.64","4,901.40","","-0.52%"
"08/17/2022","4,934.88","4,894.84","4,950.60","4,893.31","","0.82%"
"08/16/2022","4,894.53","4,868.41","4,899.80","4,845.97","","0.65%"
"08/15/2022","4,863.06","4,809.80","4,870.35","4,809.80","","1.12%"
"08/12/2022","4,809.34","4,876.09","4,892.49","4,799.78","","-1.36%"
"08/11/2022","4,875.64","4,869.73","4,907.19","4,863.53","","0.12%"
"08/10/2022","4,869.66","4,912.12","4,919.82","4,845.60","","-0.87%"
"08/09/2022","4,912.23","4,828.07","4,912.23","4,809.96","","1.74%"
"08/08/2022","4,828.07","4,747.06","4,828.07","4,747.06","","1.71%"
"08/05/2022","4,746.77","4,727.40","4,782.14","4,719.13","","0.41%"
"08/04/2022","4,727.46","4,708.14","4,757.18","4,702.19","","0.41%"
"08/03/2022","4,708.03","4,772.62","4,783.95","4,702.02","","-1.36%"
"08/02/2022","4,772.79","4,781.67","4,798.47","4,734.97","","-0.19%"
"08/01/2022","4,781.82","4,776.69","4,802.79","4,760.72","","0.10%"
"07/29/2022","4,777.09","4,785.11","4,855.85","4,745.68","","-0.17%"
"07/28/2022","4,785.11","4,703.71","4,827.56","4,684.79","","1.74%"
"07/27/2022","4,703.26","4,641.64","4,707.57","4,641.64","","1.33%"
"07/26/2022","4,641.51","4,620.15","4,663.36","4,620.15","","0.47%"
"07/25/2022","4,620.00","4,578.21","4,621.36","4,564.14","","0.89%"
"07/22/2022","4,579.25","4,501.91","4,581.21","4,501.91","","1.72%"
"07/21/2022","4,501.98","4,561.68","4,561.68","4,492.77","","-1.34%"
"07/20/2022","4,562.95","4,584.07","4,617.35","4,559.37","","-0.45%"
"07/19/2022","4,583.62","4,590.50","4,624.50","4,575.00","","-0.15%"
"07/18/2022","4,590.50","4,545.05","4,600.68","4,545.05","","0.97%"
"07/15/2022","4,546.49","4,430.67","4,559.23","4,430.67","","2.62%"
"07/14/2022","4,430.53","4,533.61","4,545.41","4,419.85","","-2.29%"
"07/13/2022","4,534.41","4,560.72","4,560.72","4,468.32","","-0.56%"
"07/12/2022","4,560.14","4,622.89","4,669.20","4,550.57","","-1.36%"
"07/11/2022","4,622.93","4,590.88","4,629.87","4,580.76","","0.69%"
"07/08/2022","4,591.23","4,572.40","4,600.23","4,553.41","","0.42%"
"07/07/2022","4,571.94","4,520.80","4,572.03","4,511.76","","1.15%"
"07/06/2022","4,520.12","4,488.19","4,548.91","4,486.02","","0.71%"
"07/05/2022","4,488.16","4,578.55","4,592.13","4,484.21","","-1.87%"
"07/04/2022","4,573.69","4,590.65","4,627.01","4,565.09","","-0.37%"
"07/01/2022","4,590.57","4,505.94","4,595.13","4,471.66","","1.84%"
"06/30/2022","4,507.67","4,560.08","4,560.08","4,477.93","","-1.27%"
"06/29/2022","4,565.49","4,598.96","4,598.96","4,515.89","","-0.74%"
"06/28/2022","4,599.33","4,505.25","4,606.44","4,505.25","","2.09%"
"06/27/2022","4,505.22","4,493.72","4,526.12","4,457.34","","0.25%"
"06/24/2022","4,493.81","4,415.97","4,493.93","4,414.21","","1.75%"
"06/23/2022","4,416.53","4,367.52","4,445.79","4,327.47","","1.14%"
"06/22/2022","4,366.96","4,401.20","4,403.25","4,308.83","","-0.85%"
"06/21/2022","4,404.35","4,470.37","4,491.82","4,390.69","","-1.48%"
"06/20/2022","4,470.29","4,369.05","4,486.63","4,369.05","","2.31%"
"06/17/2022","4,369.16","4,375.97","4,414.72","4,344.73","","-0.15%"
"06/16/2022","4,375.63","4,464.55","4,519.36","4,367.41","","-1.98%"
"06/15/2022","4,464.17","4,462.11","4,493.17","4,452.43","","0.46%"
"06/14/2022","4,443.74","4,496.70","4,555.91","4,443.74","","-1.18%"
"06/13/2022","4,496.70","4,545.10","4,545.10","4,475.97","","-1.07%"
"06/10/2022","4,545.25","4,641.51","4,641.51","4,529.46","","-2.07%"
"06/09/2022","4,641.44","4,667.47","4,685.20","4,627.88","","-0.54%"
"06/08/2022","4,666.82","4,679.42","4,698.23","4,650.17","","-0.27%"
"06/07/2022","4,679.38","4,627.23","4,679.38","4,612.74","","1.19%"
"06/06/2022","4,624.49","4,586.04","4,636.05","4,586.04","","0.84%"
"06/03/2022","4,585.93","4,555.44","4,603.37","4,555.30","","0.80%"
"06/02/2022","4,549.70","4,566.76","4,583.79","4,519.98","","-0.24%"
"06/01/2022","4,560.75","4,600.08","4,634.26","4,556.01","","-0.86%"
"05/31/2022","4,600.40","4,629.75","4,657.70","4,592.47","","-0.61%"
"05/30/2022","4,628.77","4,602.87","4,641.11","4,585.31","","0.62%"
"05/27/2022","4,600.43","4,649.89","4,667.49","4,589.08","","-1.04%"
"05/26/2022","4,648.81","4,581.63","4,664.06","4,581.63","","1.46%"
"05/25/2022","4,581.83","4,551.98","4,602.92","4,530.04","","0.66%"
"05/24/2022","4,551.64","4,493.35","4,557.47","4,428.95","","1.34%"
"05/23/2022","4,491.50","4,400.81","4,491.50","4,400.81","","2.18%"
"05/20/2022","4,395.54","4,369.77","4,445.82","4,369.77","","0.56%"
"05/19/2022","4,371.10","4,282.42","4,383.54","4,264.17","","1.89%"
"05/18/2022","4,290.17","4,299.74","4,350.92","4,284.83","","-0.20%"
"05/17/2022","4,298.67","4,243.71","4,308.59","4,243.71","","1.50%"
"05/16/2022","4,235.03","4,216.91","4,246.42","4,172.76","","1.08%"
"05/13/2022","4,189.63","4,158.77","4,208.18","4,158.77","","0.74%"
"05/12/2022","4,158.77","4,274.71","4,274.71","4,136.95","","-2.58%"
"05/11/2022","4,269.06","4,203.18","4,269.06","4,184.28","","1.60%"
"05/10/2022","4,201.73","4,144.09","4,225.73","4,144.09","","1.39%"
"05/09/2022","4,144.09","4,281.17","4,288.63","4,144.09","","-3.20%"
"05/06/2022","4,281.20","4,233.92","4,314.32","4,162.37","","1.38%"
"05/05/2022","4,222.86","4,269.52","4,317.43","4,222.12","","-0.92%"
"05/04/2022","4,261.87","4,308.35","4,342.94","4,244.99","","-1.08%"
"05/03/2022","4,308.35","4,297.07","4,309.95","4,253.30","","0.26%"
"05/02/2022","4,297.07","4,377.89","4,381.35","4,132.93","","-1.85%"
"04/29/2022","4,378.11","4,403.02","4,429.96","4,362.95","","-0.56%"
"04/28/2022","4,402.66","4,379.22","4,414.49","4,368.55","","0.62%"
"04/27/2022","4,375.74","4,356.15","4,376.81","4,314.74","","0.56%"
"04/26/2022","4,351.43","4,418.41","4,418.41","4,342.65","","-0.58%"
"04/25/2022","4,376.69","4,378.92","4,416.41","4,329.45","","-0.05%"
"04/22/2022","4,379.03","4,410.84","4,420.53","4,364.99","","-0.71%"
"04/21/2022","4,410.51","4,472.03","4,486.45","4,410.51","","-1.37%"
