"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,048.80","1,050.59","1,058.79","1,048.80","","-0.14%"
"12/29/2022","1,050.28","1,058.22","1,058.90","1,048.37","","-0.67%"
"12/28/2022","1,057.38","1,066.26","1,066.26","1,057.38","","-1.15%"
"12/27/2022","1,069.66","1,069.35","1,073.35","1,066.68","","0.20%"
"12/23/2022","1,067.48","1,066.27","1,067.48","1,062.36","","0.56%"
"12/22/2022","1,061.57","1,065.02","1,069.06","1,061.07","","-0.20%"
"12/21/2022","1,063.67","1,058.68","1,063.82","1,054.76","","0.46%"
"12/20/2022","1,058.84","1,060.00","1,060.00","1,051.81","","-0.31%"
"12/19/2022","1,062.17","1,065.35","1,066.89","1,058.56","","-0.17%"
"12/16/2022","1,063.94","1,072.85","1,072.85","1,060.32","","-0.70%"
"12/15/2022","1,071.44","1,072.53","1,076.51","1,071.44","","-0.10%"
"12/14/2022","1,072.53","1,076.30","1,078.53","1,070.30","","-0.17%"
"12/13/2022","1,074.37","1,080.04","1,080.82","1,073.37","","-0.84%"
"12/12/2022","1,083.47","1,078.48","1,083.65","1,073.20","","0.70%"
"12/09/2022","1,075.89","1,071.63","1,079.81","1,071.20","","0.39%"
"12/08/2022","1,071.74","1,073.32","1,076.17","1,070.64","","-0.23%"
"12/07/2022","1,074.24","1,068.57","1,076.53","1,066.28","","0.68%"
"12/06/2022","1,066.98","1,067.35","1,068.90","1,063.71","","-0.06%"
"12/05/2022","1,067.57","1,072.03","1,073.87","1,067.57","","-0.37%"
"12/02/2022","1,071.54","1,072.38","1,072.75","1,067.89","","0.01%"
"12/01/2022","1,071.45","1,061.89","1,074.85","1,061.89","","0.65%"
"11/30/2022","1,064.57","1,064.56","1,070.59","1,064.33","","-0.50%"
"11/29/2022","1,069.92","1,053.89","1,069.92","1,053.89","","1.62%"
"11/28/2022","1,052.82","1,066.05","1,070.52","1,051.14","","-1.57%"
"11/25/2022","1,069.62","1,069.93","1,073.68","1,068.65","","-0.08%"
"11/24/2022","1,070.47","1,069.40","1,075.92","1,066.95","","-0.12%"
"11/23/2022","1,071.78","1,073.23","1,078.23","1,070.04","","-0.19%"
"11/22/2022","1,073.80","1,088.48","1,088.48","1,072.15","","-1.96%"
"11/21/2022","1,095.30","1,099.26","1,108.00","1,092.68","","-0.17%"
"11/18/2022","1,097.15","1,090.72","1,103.90","1,090.72","","0.33%"
"11/17/2022","1,093.55","1,077.89","1,094.17","1,077.89","","1.37%"
"11/16/2022","1,078.73","1,075.29","1,080.49","1,072.98","","0.46%"
"11/15/2022","1,073.81","1,059.96","1,074.25","1,059.96","","1.57%"
"11/14/2022","1,057.17","1,042.69","1,058.90","1,042.69","","1.34%"
"11/11/2022","1,043.21","1,023.74","1,043.39","1,023.74","","2.87%"
"11/10/2022","1,014.14","1,001.50","1,016.19","1,001.50","","0.90%"
"11/09/2022","1,005.07","1,005.47","1,009.41","1,000.07","","-0.02%"
"11/08/2022","1,005.27","1,001.81","1,005.44","1,000.65","","0.03%"
"11/07/2022","1,004.99","1,006.21","1,007.43","1,001.97","","0.19%"
"11/04/2022","1,003.08","1,007.10","1,013.35","1,001.16","","-0.43%"
"11/03/2022","1,007.45","1,014.19","1,015.57","1,006.79","","-0.86%"
"11/02/2022","1,016.24","1,021.20","1,022.42","1,013.12","","-0.47%"
"10/28/2022","1,021.00","1,023.84","1,024.17","1,016.36","","-0.12%"
"10/27/2022","1,022.18","1,020.05","1,024.58","1,018.90","","0.59%"
"10/26/2022","1,016.20","1,003.29","1,025.40","1,003.29","","1.83%"
"10/25/2022","997.95","993.72","1,004.05","993.72","","0.38%"
"10/24/2022","994.18","992.20","996.92","990.83","","0.31%"
"10/21/2022","991.10","995.41","995.72","990.45","","0.07%"
"10/20/2022","990.42","983.83","991.98","983.83","","0.46%"
"10/19/2022","985.84","984.80","988.21","980.59","","-0.13%"
"10/18/2022","987.11","983.09","989.66","982.76","","0.31%"
"10/17/2022","984.05","989.73","1,003.39","982.93","","-0.33%"
"10/14/2022","987.34","978.67","993.34","978.67","","0.65%"
"10/13/2022","981.01","980.36","984.16","979.37","","0.39%"
"10/12/2022","977.16","971.91","981.08","970.54","","-0.26%"
"10/11/2022","979.68","982.26","984.92","978.48","","-0.50%"
"10/10/2022","984.65","982.47","985.92","981.69","","0.01%"
"10/07/2022","984.56","985.78","994.40","984.56","","-0.27%"
"10/06/2022","987.19","979.18","992.36","979.18","","0.50%"
"10/05/2022","982.23","970.06","982.23","970.06","","1.66%"
"10/04/2022","966.19","953.46","969.77","953.46","","1.46%"
"10/03/2022","952.25","963.06","972.62","951.21","","-1.12%"
"09/30/2022","963.07","957.50","966.08","953.42","","0.76%"
"09/29/2022","955.83","967.78","973.92","948.94","","-1.09%"
"09/28/2022","966.33","989.58","989.58","958.27","","-2.11%"
"09/27/2022","987.18","995.41","1,007.70","985.20","","-1.42%"
"09/26/2022","1,001.38","1,024.24","1,025.75","997.12","","-2.26%"
"09/23/2022","1,024.53","1,040.65","1,040.65","1,022.13","","-1.76%"
"09/22/2022","1,042.88","1,053.84","1,053.84","1,041.03","","-0.87%"
"09/21/2022","1,052.02","1,060.88","1,062.74","1,050.99","","-0.80%"
"09/20/2022","1,060.53","1,062.66","1,065.72","1,060.53","","-0.29%"
"09/19/2022","1,063.57","1,076.85","1,077.04","1,063.57","","-0.83%"
"09/16/2022","1,072.49","1,084.56","1,086.33","1,071.52","","-1.42%"
"09/15/2022","1,087.93","1,076.47","1,088.47","1,076.47","","0.92%"
"09/14/2022","1,077.98","1,086.66","1,086.66","1,075.10","","-0.79%"
"09/13/2022","1,086.51","1,080.47","1,088.71","1,080.47","","0.52%"
"09/12/2022","1,080.88","1,074.37","1,085.48","1,069.97","","1.23%"
"09/09/2022","1,067.72","1,067.80","1,074.07","1,066.47","","0.58%"
"09/08/2022","1,061.54","1,069.50","1,069.50","1,061.00","","-0.46%"
"09/07/2022","1,066.43","1,091.97","1,092.50","1,066.43","","-2.37%"
"09/06/2022","1,092.28","1,093.73","1,096.78","1,088.43","","-0.26%"
"09/05/2022","1,095.15","1,108.18","1,111.44","1,092.13","","-1.37%"
"09/02/2022","1,110.41","1,118.81","1,120.01","1,109.87","","-0.87%"
"09/01/2022","1,120.14","1,129.19","1,129.19","1,119.50","","-0.88%"
"08/31/2022","1,130.04","1,134.44","1,138.87","1,128.81","","-0.17%"
"08/30/2022","1,132.01","1,122.18","1,132.01","1,122.03","","0.63%"
"08/29/2022","1,124.87","1,144.59","1,144.59","1,117.16","","-1.84%"
"08/26/2022","1,145.94","1,155.17","1,156.32","1,143.63","","-0.87%"
"08/25/2022","1,156.04","1,157.23","1,160.35","1,152.76","","0.05%"
"08/24/2022","1,155.50","1,157.31","1,162.70","1,155.29","","-0.26%"
"08/23/2022","1,158.47","1,170.33","1,170.33","1,157.73","","-1.10%"
"08/22/2022","1,171.37","1,171.49","1,175.60","1,171.37","","0.08%"
"08/19/2022","1,170.41","1,166.23","1,172.06","1,165.90","","0.24%"
"08/18/2022","1,167.62","1,167.97","1,173.90","1,167.62","","-0.30%"
"08/17/2022","1,171.08","1,173.39","1,179.33","1,170.01","","-0.29%"
